home, homescore, awayscore, away, date, group
Mainz, 2, 1, Hertha Berlin, "Saturday, September 12, 2009", Stadion am Bruchweg (20,200)
Nurnberg, 1, 0, Borussia Monchengladbach, "Saturday, September 12, 2009", EasyCredit-Stadion (46,780)
SC Freiburg, 0, 2, Eintracht Frankfurt, "Saturday, September 12, 2009", badenova-Stadion (23,600)
TSG Hoffenheim, 3, 0, VfL Bochum, "Saturday, September 12, 2009", Rhein-Neckar-Arena (29,500)
VfL Wolfsburg, 2, 3, Bayer Leverkusen, "Saturday, September 12, 2009", Volkswagen Arena (30,000)
Hamburg SV, 3, 1, VfB Stuttgart, "Saturday, September 12, 2009", Imtech Arena (57,000)
Hertha Berlin, 2, 3, Werder Bremen, "Sunday, August 30, 2009", Olympiastadion (49,176)
Hamburg SV, 3, 1, FC Cologne, "Sunday, August 30, 2009", Imtech Arena (54,112)
Bayer Leverkusen, 2, 1, VfL Bochum, "Saturday, August 29, 2009", BayArena (27,122)
Eintracht Frankfurt, 1, 1, Borussia Dortmund, "Saturday, August 29, 2009", Commerzbank Arena (51,050)
Hannover 96, 0, 1, TSG Hoffenheim, "Saturday, August 29, 2009", AWD-Arena (34,257)
Schalke 04, 0, 1, SC Freiburg, "Saturday, August 29, 2009", Veltins-Arena (60,198)
VfB Stuttgart, 0, 0, Nurnberg, "Saturday, August 29, 2009", Mercedes-Benz Arena (42,000)
Bayern Munich, 3, 0, VfL Wolfsburg, "Saturday, August 29, 2009", Allianz Arena (69,000)
Borussia Monchengladbach, 2, 0, Mainz, "Friday, August 28, 2009", Borussia-Park (42,217)
VfL Bochum, 1, 0, Hertha Berlin, "Sunday, August 23, 2009", rewirpowerSTADION (18,800)
VfL Wolfsburg, 2, 4, Hamburg SV, "Sunday, August 23, 2009", Volkswagen Arena (30,000)
Werder Bremen, 3, 0, Borussia Monchengladbach, "Sunday, August 23, 2009", Weserstadion (34,800)
Borussia Dortmund, 1, 1, VfB Stuttgart, "Saturday, August 22, 2009", Signal Iduna Park (72,100)
FC Cologne, 0, 0, Eintracht Frankfurt, "Saturday, August 22, 2009", RheinEnergieStadion (48,000)
Mainz, 2, 1, Bayern Munich, "Saturday, August 22, 2009", Stadion am Bruchweg (20,300)
Nurnberg, 0, 2, Hannover 96, "Saturday, August 22, 2009", EasyCredit-Stadion (38,671)
SC Freiburg, 0, 5, Bayer Leverkusen, "Saturday, August 22, 2009", badenova-Stadion (22,000)
TSG Hoffenheim, 0, 0, Schalke 04, "Friday, August 21, 2009", Rhein-Neckar-Arena (30,150)
Borussia Monchengladbach, 2, 1, Hertha Berlin, "Sunday, August 16, 2009", Borussia-Park (41,814)
Schalke 04, 3, 0, VfL Bochum, "Sunday, August 16, 2009", Veltins-Arena (61,000)
Bayer Leverkusen, 1, 0, TSG Hoffenheim, "Saturday, August 15, 2009", BayArena (27,000)
Bayern Munich, 1, 1, Werder Bremen, "Saturday, August 15, 2009", Allianz Arena (69,000)
Eintracht Frankfurt, 1, 1, Nurnberg, "Saturday, August 15, 2009", Commerzbank Arena (49,000)
Hamburg SV, 4, 1, Borussia Dortmund, "Saturday, August 15, 2009", Imtech Arena (57,000)
Hannover 96, 1, 1, Mainz, "Saturday, August 15, 2009", AWD-Arena (28,952)
VfB Stuttgart, 4, 2, SC Freiburg, "Saturday, August 15, 2009", Mercedes-Benz Arena (41,500)
FC Cologne, 1, 3, VfL Wolfsburg, "Saturday, August 15, 2009", RheinEnergieStadion (48,000)
VfL Bochum, 3, 3, Borussia Monchengladbach, "Sunday, August 9, 2009", rewirpowerSTADION (29,766)
SC Freiburg, 1, 1, Hamburg SV, "Sunday, August 9, 2009", badenova-Stadion (24,000)
Borussia Dortmund, 1, 0, FC Cologne, "Saturday, August 8, 2009", Signal Iduna Park (78,200)
Hertha Berlin, 1, 0, Hannover 96, "Saturday, August 8, 2009", Olympiastadion (42,169)
Mainz, 2, 2, Bayer Leverkusen, "Saturday, August 8, 2009", Stadion am Bruchweg (20,000)
Nurnberg, 1, 2, Schalke 04, "Saturday, August 8, 2009", EasyCredit-Stadion (46,780)
Werder Bremen, 2, 3, Eintracht Frankfurt, "Saturday, August 8, 2009", Weserstadion (33,000)
TSG Hoffenheim, 1, 1, Bayern Munich, "Saturday, August 8, 2009", Rhein-Neckar-Arena (30,500)
VfL Wolfsburg, 2, 0, VfB Stuttgart, "Friday, August 7, 2009", Volkswagen Arena (30,000)
