home, homescore, awayscore, away, date, group
Malaga, 2, 3, Real Betis, "Sunday, May 23, 2004", "La Rosaleda (20,000)"
Racing Santander, 0, 1, Deportivo La Coruña, "Sunday, May 23, 2004", "El Sardinero (17,000)"
Athletic Bilbao, 3, 4, Atletico Madrid, "Sunday, May 23, 2004", "San Mames Stadium (25,000)"
Celta Vigo, 1, 2, Mallorca, "Sunday, May 23, 2004", "Balaidos Stadium (27,000)"
Espanyol, 2, 0, Murcia, "Sunday, May 23, 2004", "Montjuic Stadium (51,700)"
Real Madrid, 1, 4, Real Sociedad, "Sunday, May 23, 2004", "Santiago Bernabeu (50,000)"
Real Valladolid, 3, 0, Villarreal, "Sunday, May 23, 2004", "Nuevo Jose Zorilla Stadium (15,000)"
Real Zaragoza, 2, 1, Barcelona, "Sunday, May 23, 2004", "La Romareda Stadium (34,500)"
Sevilla FC, 1, 0, Osasuna, "Sunday, May 23, 2004", "Estadio Ramon Sanchez Pizjuan (46,000)"
Valencia, 0, 1, Albacete, "Sunday, May 23, 2004", "Mestalla Stadium (49,000)"
Albacete, 1, 4, Sevilla FC, "Sunday, May 16, 2004", "Carlos Belmonte (16,000)"
Mallorca, 4, 2, Espanyol, "Sunday, May 16, 2004", "Son Moix (18,000)"
Osasuna, 1, 2, Athletic Bilbao, "Sunday, May 16, 2004", "El Sadar (17,000)"
Real Sociedad, 1, 1, Malaga, "Sunday, May 16, 2004", "Anoeta Stadium (28,713)"
Atletico Madrid, 1, 2, Real Zaragoza, "Sunday, May 16, 2004", "Vicente Calderon (52,000)"
Barcelona, 1, 0, Racing Santander, "Sunday, May 16, 2004", "Camp Nou (88,000)"
Murcia, 2, 1, Real Madrid, "Sunday, May 16, 2004", "La Condomina (15,668)"
Deportivo La Coruña, 3, 0, Celta Vigo, "Saturday, May 15, 2004", "Riazor Stadium (29,000)"
Real Betis, 1, 0, Real Valladolid, "Saturday, May 15, 2004", "Estadio Manuel Ruiz de Lopera (25,000)"
Villarreal, 2, 1, Valencia, "Friday, May 14, 2004", "El Madrigal (12,000)"
Athletic Bilbao, 1, 1, Albacete, "Sunday, May 9, 2004", "San Mames Stadium (35,000)"
Espanyol, 2, 0, Deportivo La Coruña, "Sunday, May 9, 2004", "Montjuic Stadium (40,300)"
Malaga, 1, 0, Murcia, "Sunday, May 9, 2004", "La Rosaleda (20,000)"
Real Valladolid, 2, 2, Real Sociedad, "Sunday, May 9, 2004", "Nuevo Jose Zorilla Stadium (17,000)"
Real Zaragoza, 1, 0, Osasuna, "Sunday, May 9, 2004", "La Romareda Stadium (34,000)"
Villarreal, 1, 0, Real Betis, "Sunday, May 9, 2004", "El Madrigal (15,000)"
Sevilla FC, 0, 2, Valencia, "Sunday, May 9, 2004", "Estadio Ramon Sanchez Pizjuan (38,000)"
Racing Santander, 2, 2, Atletico Madrid, "Sunday, May 9, 2004", "El Sardinero (14,000)"
Celta Vigo, 1, 0, Barcelona, "Saturday, May 8, 2004", "Balaidos Stadium (27,000)"
Real Madrid, 2, 3, Mallorca, "Saturday, May 8, 2004", "Santiago Bernabeu (55,000)"
Albacete, 3, 1, Real Zaragoza, "Sunday, May 2, 2004", "Carlos Belmonte (15,000)"
Mallorca, 2, 1, Malaga, "Sunday, May 2, 2004", "Son Moix (20,000)"
Murcia, 2, 1, Real Valladolid, "Sunday, May 2, 2004", "La Condomina (5,900)"
Real Sociedad, 2, 2, Villarreal, "Sunday, May 2, 2004", "Anoeta Stadium (26,143)"
Sevilla FC, 2, 0, Athletic Bilbao, "Sunday, May 2, 2004", "Estadio Ramon Sanchez Pizjuan (29,568)"
Osasuna, 1, 2, Racing Santander, "Sunday, May 2, 2004", "El Sadar (17,000)"
Valencia, 2, 0, Real Betis, "Sunday, May 2, 2004", "Mestalla Stadium (45,000)"
Barcelona, 4, 1, Espanyol, "Sunday, May 2, 2004", "Camp Nou (89,000)"
Atletico Madrid, 3, 2, Celta Vigo, "Saturday, May 1, 2004", "Vicente Calderon (40,000)"
Deportivo La Coruña, 2, 0, Real Madrid, "Saturday, May 1, 2004", "Riazor Stadium (24,600)"
Celta Vigo, 1, 0, Osasuna, "Sunday, April 25, 2004", "Balaidos Stadium (18,000)"
Racing Santander, 0, 2, Albacete, "Sunday, April 25, 2004", "El Sardinero (15,500)"
Real Betis, 2, 1, Real Sociedad, "Sunday, April 25, 2004", "Estadio Manuel Ruiz de Lopera (25,000)"
Real Valladolid, 1, 3, Mallorca, "Sunday, April 25, 2004", "Nuevo Jose Zorilla Stadium (21,000)"
Real Zaragoza, 4, 4, Sevilla FC, "Sunday, April 25, 2004", "La Romareda Stadium (34,000)"
Villarreal, 1, 0, Murcia, "Sunday, April 25, 2004", "El Madrigal (9,000)"
Real Madrid, 1, 2, Barcelona, "Sunday, April 25, 2004", "Santiago Bernabeu (78,000)"
Athletic Bilbao, 1, 1, Valencia, "Sunday, April 25, 2004", "San Mames Stadium (36,000)"
Espanyol, 3, 1, Atletico Madrid, "Saturday, April 24, 2004", "Montjuic Stadium (34,200)"
Malaga, 1, 1, Deportivo La Coruña, "Saturday, April 24, 2004", "La Rosaleda (21,000)"
Albacete, 0, 2, Celta Vigo, "Sunday, April 18, 2004", "Carlos Belmonte (16,000)"
Mallorca, 1, 2, Villarreal, "Sunday, April 18, 2004", "Son Moix (22,000)"
Murcia, 0, 1, Real Betis, "Sunday, April 18, 2004", "La Condomina (8,943)"
Osasuna, 1, 3, Espanyol, "Sunday, April 18, 2004", "El Sadar (15,000)"
Sevilla FC, 5, 2, Racing Santander, "Sunday, April 18, 2004", "Estadio Ramon Sanchez Pizjuan (35,000)"
Valencia, 2, 2, Real Sociedad, "Sunday, April 18, 2004", "Mestalla Stadium (45,000)"
Barcelona, 3, 0, Malaga, "Sunday, April 18, 2004", "Camp Nou (48,000)"
Deportivo La Coruña, 1, 1, Real Valladolid, "Saturday, April 17, 2004", "Riazor Stadium (27,000)"
Athletic Bilbao, 4, 0, Real Zaragoza, "Saturday, April 17, 2004", "San Mames Stadium (35,000)"
