home, homescore, awayscore, away, date, group
Bologna, 0, 2, Parma, "Saturday, June 18, 2005", "Renato Dall'Ara (35,000)"
Parma, 0, 1, Bologna, "Tuesday, June 14, 2005", "Ennio Tardini (27,333)"
AS Roma, 0, 0, Chievo Verona, "Sunday, May 29, 2005", "Olimpico (55,000)"
Bologna, 0, 0, Sampdoria, "Sunday, May 29, 2005", "Renato Dall'Ara (38,000)"
Fiorentina, 3, 0, Brescia, "Sunday, May 29, 2005", "Artemio Franchi (45,000)"
Internazionale, 0, 0, Reggina, "Sunday, May 29, 2005", "San Siro (50,000)"
Juventus, 4, 2, Cagliari, "Sunday, May 29, 2005", "Delle Alpi (52,762)"
Lecce, 3, 3, Parma, "Sunday, May 29, 2005", "Via del Mare "
Messina, 1, 1, Livorno, "Sunday, May 29, 2005", " (30,000)"
Palermo, 3, 3, Lazio, "Sunday, May 29, 2005", "Renzo Barbera (33,074)"
Siena, 2, 1, Atalanta, "Sunday, May 29, 2005", "Artemio Franchi (11,000)"
Udinese, 1, 1, AC Milan, "Sunday, May 29, 2005", "Friuli (23,000)"
Atalanta, 0, 1, AS Roma, "Sunday, May 22, 2005", "Atleti Azzurri d'Italia (15,000)"
Brescia, 2, 1, Messina, "Sunday, May 22, 2005", "Mario Rigamonti (15,000)"
Cagliari, 1, 1, Udinese, "Sunday, May 22, 2005", "Sant'Elia (15,000)"
Chievo Verona, 1, 0, Bologna, "Sunday, May 22, 2005", "Bentegodi (17,515)"
Lazio, 1, 1, Fiorentina, "Sunday, May 22, 2005", "Stadio Olimpico (40,000)"
Livorno, 2, 2, Juventus, "Sunday, May 22, 2005", " (22,000)"
Parma, 0, 0, Siena, "Sunday, May 22, 2005", "Ennio Tardini (21,713)"
Reggina, 2, 2, Lecce, "Sunday, May 22, 2005", "Stadio Granillo (20,000)"
Sampdoria, 0, 1, Internazionale, "Sunday, May 22, 2005", "Luigi Ferraris (36,000)"
AC Milan, 3, 3, Palermo, "Friday, May 20, 2005", "San Siro (61,000)"
AS Roma, 0, 0, Lazio, "Sunday, May 15, 2005", "Olimpico (68,000)"
Bologna, 1, 2, Brescia, "Sunday, May 15, 2005", "Renato Dall'Ara (18,000)"
Fiorentina, 0, 0, Atalanta, "Sunday, May 15, 2005", "Artemio Franchi (43,000)"
Internazionale, 1, 0, Livorno, "Sunday, May 15, 2005", "San Siro (52,646)"
Juventus, 2, 0, Parma, "Sunday, May 15, 2005", "Delle Alpi (40,000)"
Lecce, 2, 2, AC Milan, "Sunday, May 15, 2005", "Via del Mare (21,628)"
Messina, 2, 1, Cagliari, "Sunday, May 15, 2005", " (33,000)"
Palermo, 1, 1, Reggina, "Sunday, May 15, 2005", "Renzo Barbera (36,046)"
Siena, 0, 1, Chievo Verona, "Sunday, May 15, 2005", "Artemio Franchi (9,000)"
Udinese, 1, 1, Sampdoria, "Sunday, May 15, 2005", "Friuli (22,000)"
AC Milan, 0, 1, Juventus, "Sunday, May 8, 2005", "San Siro (68,000)"
Atalanta, 2, 1, Messina, "Sunday, May 8, 2005", "Atleti Azzurri d'Italia (12,000)"
Brescia, 0, 3, Internazionale, "Sunday, May 8, 2005", "Mario Rigamonti (11,000)"
Cagliari, 0, 0, Palermo, "Sunday, May 8, 2005", "Sant'Elia (15,000)"
Chievo Verona, 1, 2, Fiorentina, "Sunday, May 8, 2005", "Bentegodi (15,000)"
Lazio, 0, 1, Udinese, "Sunday, May 8, 2005", "Stadio Olimpico (35,000)"
