home, homescore, awayscore, away, date, group
VfL Wolfsburg, 0, 1, Hamburg SV, "Saturday, February 12, 2011", Volkswagen Arena (30,000)
Kaiserslautern, 1, 1, Borussia Dortmund, "Saturday, February 12, 2011", Fritz-Walter-Stadion (49,750)
SC Freiburg, 0, 0, Eintracht Frankfurt, "Sunday, February 6, 2011", badenova-Stadion (21,900)
FC Cologne, 3, 2, Bayern Munich, "Saturday, February 5, 2011", RheinEnergieStadion (50,000)
Hannover 96, 1, 0, VfL Wolfsburg, "Saturday, February 5, 2011", AWD-Arena (37,213)
Mainz, 1, 1, Werder Bremen, "Saturday, February 5, 2011", Stadion am Bruchweg (20,300)
Nurnberg, 1, 0, Bayer Leverkusen, "Saturday, February 5, 2011", EasyCredit-Stadion (34,113)
TSG Hoffenheim, 3, 2, Kaiserslautern, "Saturday, February 5, 2011", Rhein-Neckar-Arena (30,150)
Borussia Monchengladbach, 2, 3, VfB Stuttgart, "Saturday, February 5, 2011", Borussia-Park (39,132)
Borussia Dortmund, 0, 0, Schalke 04, "Friday, February 4, 2011", Signal Iduna Park (80,720)
VfB Stuttgart, 0, 1, SC Freiburg, "Sunday, January 30, 2011", Mercedes-Benz Arena (38,600)
Eintracht Frankfurt, 0, 1, Borussia Monchengladbach, "Sunday, January 30, 2011", Commerzbank Arena (43,700)
Nurnberg, 2, 0, Hamburg SV, "Saturday, January 29, 2011", EasyCredit-Stadion (36,202)
Schalke 04, 0, 1, TSG Hoffenheim, "Saturday, January 29, 2011", Veltins-Arena (60,569)
St Pauli, 3, 0, FC Cologne, "Saturday, January 29, 2011", Millerntor-Stadion (24,355)
VfL Wolfsburg, 0, 3, Borussia Dortmund, "Saturday, January 29, 2011", Volkswagen Arena (30,000)
Werder Bremen, 1, 3, Bayern Munich, "Saturday, January 29, 2011", Weserstadion (40,500)
Kaiserslautern, 0, 1, Mainz, "Saturday, January 29, 2011", Fritz-Walter-Stadion (46,649)
Bayer Leverkusen, 2, 0, Hannover 96, "Friday, January 28, 2011", BayArena (28,013)
Borussia Monchengladbach, 1, 3, Bayer Leverkusen, "Sunday, January 23, 2011", Borussia-Park (36,696)
TSG Hoffenheim, 2, 2, St Pauli, "Sunday, January 23, 2011", Rhein-Neckar-Arena (29,300)
Bayern Munich, 5, 1, Kaiserslautern, "Saturday, January 22, 2011", Allianz Arena (69,000)
Borussia Dortmund, 1, 1, VfB Stuttgart, "Saturday, January 22, 2011", Signal Iduna Park (80,720)
Hannover 96, 0, 1, Schalke 04, "Saturday, January 22, 2011", AWD-Arena (49,000)
Mainz, 0, 1, VfL Wolfsburg, "Saturday, January 22, 2011", Stadion am Bruchweg (18,900)
SC Freiburg, 1, 1, Nurnberg, "Saturday, January 22, 2011", badenova-Stadion (20,000)
FC Cologne, 3, 0, Werder Bremen, "Saturday, January 22, 2011", RheinEnergieStadion (45,100)
Hamburg SV, 1, 0, Eintracht Frankfurt, "Friday, January 21, 2011", Imtech Arena (50,239)
Eintracht Frankfurt, 0, 3, Hannover 96, "Sunday, January 16, 2011", Commerzbank Arena (39,300)
Kaiserslautern, 1, 1, FC Cologne, "Sunday, January 16, 2011", Fritz-Walter-Stadion (42,295)
Nurnberg, 0, 1, Borussia Monchengladbach, "Saturday, January 15, 2011", EasyCredit-Stadion (37,464)
St Pauli, 2, 2, SC Freiburg, "Saturday, January 15, 2011", Millerntor-Stadion (24,051)
VfB Stuttgart, 1, 0, Mainz, "Saturday, January 15, 2011", Mercedes-Benz Arena (33,500)
VfL Wolfsburg, 1, 1, Bayern Munich, "Saturday, January 15, 2011", Volkswagen Arena (30,000)
Werder Bremen, 2, 1, TSG Hoffenheim, "Saturday, January 15, 2011", Weserstadion (37,274)
Schalke 04, 0, 1, Hamburg SV, "Saturday, January 15, 2011", Veltins-Arena (61,673)
Bayer Leverkusen, 1, 3, Borussia Dortmund, "Friday, January 14, 2011", BayArena (30,210)
Bayer Leverkusen, 2, 2, SC Freiburg, "Sunday, December 19, 2010", BayArena (22,421)
VfB Stuttgart, 3, 5, Bayern Munich, "Sunday, December 19, 2010", Mercedes-Benz Arena (40,500)
Eintracht Frankfurt, 1, 0, Borussia Dortmund, "Saturday, December 18, 2010", Commerzbank Arena (51,500)
Nurnberg, 3, 1, Hannover 96, "Saturday, December 18, 2010", EasyCredit-Stadion (33,111)
Schalke 04, 3, 0, FC Cologne, "Saturday, December 18, 2010", Veltins-Arena (61,673)
VfL Wolfsburg, 2, 2, TSG Hoffenheim, "Saturday, December 18, 2010", Volkswagen Arena (24,512)
Werder Bremen, 1, 2, Kaiserslautern, "Saturday, December 18, 2010", Weserstadion (36,000)
St Pauli, 2, 4, Mainz, "Saturday, December 18, 2010", Millerntor-Stadion (24,235)
Borussia Monchengladbach, 1, 2, Hamburg SV, "Friday, December 17, 2010", Borussia-Park (42,253)
SC Freiburg, 3, 0, Borussia Monchengladbach, "Sunday, December 12, 2010", badenova-Stadion (22,700)
Mainz, 0, 1, Schalke 04, "Sunday, December 12, 2010", Stadion am Bruchweg (20,300)
Bayern Munich, 3, 0, St Pauli, "Saturday, December 11, 2010", Allianz Arena (69,000)
FC Cologne, 1, 0, Eintracht Frankfurt, "Saturday, December 11, 2010", RheinEnergieStadion (45,000)
Hamburg SV, 2, 4, Bayer Leverkusen, "Saturday, December 11, 2010", Imtech Arena (51,225)
Kaiserslautern, 0, 0, VfL Wolfsburg, "Saturday, December 11, 2010", Fritz-Walter-Stadion (38,181)
TSG Hoffenheim, 1, 1, Nurnberg, "Saturday, December 11, 2010", Rhein-Neckar-Arena (30,100)
Borussia Dortmund, 2, 0, Werder Bremen, "Saturday, December 11, 2010", Signal Iduna Park (80,720)
Hannover 96, 2, 1, VfB Stuttgart, "Friday, December 10, 2010", AWD-Arena (36,207)
Bayer Leverkusen, 3, 2, FC Cologne, "Sunday, December 5, 2010", BayArena (30,210)
Nurnberg, 0, 2, Borussia Dortmund, "Sunday, December 5, 2010", EasyCredit-Stadion (48,548)
Borussia Monchengladbach, 1, 2, Hannover 96, "Saturday, December 4, 2010", Borussia-Park (37,195)
Eintracht Frankfurt, 2, 1, Mainz, "Saturday, December 4, 2010", Commerzbank Arena (51,500)
