home, homescore, awayscore, away, date, group
Hamburg SV, 1, 3, VfL Wolfsburg, "Wednesday, September 22, 2010", Imtech Arena (50,231)
Nurnberg, 2, 1, VfB Stuttgart, "Wednesday, September 22, 2010", EasyCredit-Stadion (36,790)
SC Freiburg, 1, 2, Schalke 04, "Wednesday, September 22, 2010", badenova-Stadion (24,000)
Hannover 96, 4, 1, Werder Bremen, "Tuesday, September 21, 2010", AWD-Arena (43,127)
Mainz, 2, 0, FC Cologne, "Tuesday, September 21, 2010", Stadion am Bruchweg (20,300)
TSG Hoffenheim, 1, 2, Bayern Munich, "Tuesday, September 21, 2010", Rhein-Neckar-Arena (30,150)
St Pauli, 1, 1, Hamburg SV, "Sunday, September 19, 2010", Millerntor-Stadion (23,800)
Bayer Leverkusen, 0, 0, Nurnberg, "Sunday, September 19, 2010", BayArena (23,963)
Schalke 04, 1, 3, Borussia Dortmund, "Sunday, September 19, 2010", Veltins-Arena (60,069)
Bayern Munich, 0, 0, FC Cologne, "Saturday, September 18, 2010", Allianz Arena (69,000)
Kaiserslautern, 2, 2, TSG Hoffenheim, "Saturday, September 18, 2010", Fritz-Walter-Stadion (44,453)
VfB Stuttgart, 7, 0, Borussia Monchengladbach, "Saturday, September 18, 2010", Mercedes-Benz Arena (39,500)
VfL Wolfsburg, 2, 0, Hannover 96, "Saturday, September 18, 2010", Volkswagen Arena (30,000)
Werder Bremen, 0, 2, Mainz, "Saturday, September 18, 2010", Weserstadion (34,023)
Eintracht Frankfurt, 0, 1, SC Freiburg, "Friday, September 17, 2010", Commerzbank Arena (40,600)
Mainz, 2, 1, Kaiserslautern, "Sunday, September 12, 2010", Stadion am Bruchweg (20,300)
FC Cologne, 1, 0, St Pauli, "Sunday, September 12, 2010", RheinEnergieStadion (50,000)
Borussia Dortmund, 2, 0, VfL Wolfsburg, "Saturday, September 11, 2010", Signal Iduna Park (73,600)
Borussia Monchengladbach, 0, 4, Eintracht Frankfurt, "Saturday, September 11, 2010", Borussia-Park (45,315)
Hamburg SV, 1, 1, Nurnberg, "Saturday, September 11, 2010", Imtech Arena (54,099)
Hannover 96, 2, 2, Bayer Leverkusen, "Saturday, September 11, 2010", AWD-Arena (40,852)
SC Freiburg, 2, 1, VfB Stuttgart, "Saturday, September 11, 2010", badenova-Stadion (23,000)
Bayern Munich, 0, 0, Werder Bremen, "Saturday, September 11, 2010", Allianz Arena (69,000)
TSG Hoffenheim, 2, 0, Schalke 04, "Friday, September 10, 2010", Rhein-Neckar-Arena (30,150)
Bayer Leverkusen, 3, 6, Borussia Monchengladbach, "Sunday, August 29, 2010", BayArena (30,210)
VfB Stuttgart, 1, 3, Borussia Dortmund, "Sunday, August 29, 2010", Mercedes-Benz Arena (40,500)
Eintracht Frankfurt, 1, 3, Hamburg SV, "Saturday, August 28, 2010", Commerzbank Arena (51,500)
Nurnberg, 1, 2, SC Freiburg, "Saturday, August 28, 2010", EasyCredit-Stadion (36,780)
Schalke 04, 1, 2, Hannover 96, "Saturday, August 28, 2010", Veltins-Arena (61,673)
VfL Wolfsburg, 3, 4, Mainz, "Saturday, August 28, 2010", Volkswagen Arena (26,116)
Werder Bremen, 4, 2, FC Cologne, "Saturday, August 28, 2010", Weserstadion (32,000)
St Pauli, 0, 1, TSG Hoffenheim, "Saturday, August 28, 2010", Millerntor-Stadion (23,794)
Kaiserslautern, 2, 0, Bayern Munich, "Friday, August 27, 2010", Fritz-Walter-Stadion (49,700)
Mainz, 2, 0, VfB Stuttgart, "Sunday, August 22, 2010", Stadion am Bruchweg (20,300)
Borussia Dortmund, 0, 2, Bayer Leverkusen, "Sunday, August 22, 2010", Signal Iduna Park (75,000)
Borussia Monchengladbach, 1, 1, Nurnberg, "Saturday, August 21, 2010", Borussia-Park (42,202)
FC Cologne, 1, 3, Kaiserslautern, "Saturday, August 21, 2010", RheinEnergieStadion (49,200)
Hannover 96, 2, 1, Eintracht Frankfurt, "Saturday, August 21, 2010", AWD-Arena (37,212)
SC Freiburg, 1, 3, St Pauli, "Saturday, August 21, 2010", badenova-Stadion (24,000)
TSG Hoffenheim, 4, 1, Werder Bremen, "Saturday, August 21, 2010", Rhein-Neckar-Arena (30,150)
Hamburg SV, 2, 1, Schalke 04, "Saturday, August 21, 2010", Imtech Arena (57,000)
Bayern Munich, 2, 1, VfL Wolfsburg, "Friday, August 20, 2010", Allianz Arena (69,000)
