home,homescore,awayscore,away,date,location
Ajax Amsterdam,3,0,AZ Alkmaar,"Sunday, May 27, 2007","Amsterdam ArenA (49,802)"
FC Utrecht,0,0,Vitesse Arnhem,"Sunday, May 27, 2007","Nieuwe Galgenwaard (10,000)"
VVV Venlo,3,0,RKC Waalwijk,"Sunday, May 27, 2007","De Koel "
Vitesse Arnhem,2,2,FC Utrecht,"Thursday, May 24, 2007"," (8,750)"
Excelsior,1,0,RBC Roosendaal,"Thursday, May 24, 2007","Stad Rotterdam Verzekeringen Stadion "
RKC Waalwijk,1,0,VVV Venlo,"Thursday, May 24, 2007","Sportp. Olympia/Mandemakers Stadion "
AZ Alkmaar,2,1,Ajax Amsterdam,"Sunday, May 20, 2007","DSB Stadion (16,500)"
FC Groningen,2,1,FC Utrecht,"Sunday, May 20, 2007","Euroborg (19,470)"
NEC Nijmegen,0,2,Vitesse Arnhem,"Sunday, May 20, 2007","De Goffert (8,000)"
RBC Roosendaal,1,1,Excelsior,"Sunday, May 20, 2007","Vast & Goed Stadion "
VVV Venlo,2,0,RKC Waalwijk,"Sunday, May 20, 2007","De Koel "
FC Utrecht,0,2,FC Groningen,"Thursday, May 17, 2007"," (16,000)"
Vitesse Arnhem,1,0,NEC Nijmegen,"Thursday, May 17, 2007"," (11,425)"
Dordrecht '90,0,3,RKC Waalwijk,"Thursday, May 17, 2007","GN Bouw Stadion "
VVV Venlo,1,0,FC Den Bosch,"Thursday, May 17, 2007","De Koel "
Feyenoord Rotterdam,1,1,FC Groningen,"Sunday, May 13, 2007","De Kuip Stadion  (18,000)"
NEC Nijmegen,2,1,Sparta Rotterdam,"Sunday, May 13, 2007","De Goffert (4,000)"
RKC Waalwijk,2,0,Dordrecht '90,"Sunday, May 13, 2007","Sportp. Olympia/Mandemakers Stadion "
Roda JC Kerkrade,1,1,FC Utrecht,"Saturday, May 12, 2007","Parkstad Limburg Stadion (14,800)"
NAC Breda,0,1,Vitesse Arnhem,"Saturday, May 12, 2007","Fujifilm  (5,520)"
RBC Roosendaal,1,0,FC Volendam,"Saturday, May 12, 2007","Vast & Goed Stadion "
VVV Venlo,0,1,FC Den Bosch,"Saturday, May 12, 2007","De Koel "
Excelsior,3,0,BV Veendam,"Saturday, May 12, 2007","Stad Rotterdam Verzekeringen Stadion "
FC Groningen,2,1,Feyenoord Rotterdam,"Thursday, May 10, 2007","Euroborg (19,660)"
Sparta Rotterdam,1,1,NEC Nijmegen,"Thursday, May 10, 2007","ENECO (9,155)"
FC Utrecht,0,0,Roda JC Kerkrade,"Wednesday, May 9, 2007"," (12,500)"
Vitesse Arnhem,3,2,NAC Breda,"Wednesday, May 9, 2007","Gelredome (11,450)"
BV Veendam,0,1,Excelsior,"Wednesday, May 9, 2007","De Langeleegte "
Dordrecht '90,2,0,RKC Waalwijk,"Wednesday, May 9, 2007","GN Bouw Stadion "
FC Den Bosch,1,2,VVV Venlo,"Wednesday, May 9, 2007","Ecco Stadion "
FC Volendam,3,5,RBC Roosendaal,"Wednesday, May 9, 2007","Veronica Stadion "
Excelsior,3,2,AZ Alkmaar,"Sunday, April 29, 2007","Stad Rotterdam Verzekeringen Stadion (3,000)"
FC Groningen,0,2,FC Utrecht,"Sunday, April 29, 2007","Euroborg (19,412)"
