home,homescore,awayscore,away,date,location
Vitesse Arnhem,2,1,RKC Waalwijk,"Sunday, May 20, 2012","Gelredome "
RKC Waalwijk,1,3,Vitesse Arnhem,"Thursday, May 17, 2012","Mandemakers Stadion "
ADO Den Haag,3,5,De Graafschap,"Sunday, May 6, 2012","Kyocera Stadion (11,000)"
AZ Alkmaar,1,0,FC Groningen,"Sunday, May 6, 2012","AFAS Stadion (16,000)"
Excelsior,1,3,PSV Eindhoven,"Sunday, May 6, 2012","Stadion Woudestein (3,000)"
Heerenveen,2,3,Feyenoord Rotterdam,"Sunday, May 6, 2012","Abe Lenstra Stadion (26,100)"
NAC Breda,3,2,RKC Waalwijk,"Sunday, May 6, 2012","Rat Verlegh Stadion (17,000)"
Roda JC Kerkrade,1,3,FC Utrecht,"Sunday, May 6, 2012","Parkstad Limburg Stadion (14,000)"
SC Heracles Almelo,1,2,NEC Nijmegen,"Sunday, May 6, 2012","Polman Stadion (8,481)"
Vitesse Arnhem,1,3,Ajax Amsterdam,"Sunday, May 6, 2012","Gelredome (23,549)"
VVV Venlo,4,2,Twente Enschede,"Sunday, May 6, 2012","Seacon Stadion -De Koel- (7,500)"
Ajax Amsterdam,2,0,VVV Venlo,"Wednesday, May 2, 2012","Amsterdam ArenA (51,985)"
De Graafschap,2,2,Excelsior,"Wednesday, May 2, 2012","De Vijverberg (12,305)"
FC Groningen,1,1,NAC Breda,"Wednesday, May 2, 2012","Euroborg (21,000)"
FC Utrecht,2,2,Vitesse Arnhem,"Wednesday, May 2, 2012","Nieuw Galgenwaard (19,000)"
Feyenoord Rotterdam,4,1,SC Heracles Almelo,"Wednesday, May 2, 2012","De Kuip Stadion  (51,777)"
NEC Nijmegen,1,1,AZ Alkmaar,"Wednesday, May 2, 2012","De Goffert (12,498)"
PSV Eindhoven,5,0,ADO Den Haag,"Wednesday, May 2, 2012","Philips Stadion (33,000)"
RKC Waalwijk,5,2,Roda JC Kerkrade,"Wednesday, May 2, 2012","Mandemakers Stadion (6,000)"
Twente Enschede,3,4,Heerenveen,"Wednesday, May 2, 2012","De Grolsch Veste (29,800)"
Roda JC Kerkrade,1,3,PSV Eindhoven,"Sunday, April 29, 2012","Parkstad Limburg Stadion (17,106)"
Feyenoord Rotterdam,1,0,AZ Alkmaar,"Sunday, April 29, 2012","De Kuip Stadion  (48,000)"
Twente Enschede,1,2,Ajax Amsterdam,"Sunday, April 29, 2012","De Grolsch Veste (30,000)"
NEC Nijmegen,1,1,RKC Waalwijk,"Sunday, April 29, 2012","De Goffert (12,408)"
SC Heracles Almelo,2,4,Heerenveen,"Saturday, April 28, 2012","Polman Stadion (8,475)"
FC Utrecht,1,3,NAC Breda,"Saturday, April 28, 2012","Nieuw Galgenwaard (19,000)"
Vitesse Arnhem,3,2,Excelsior,"Saturday, April 28, 2012","Gelredome (28,278)"
VVV Venlo,2,1,ADO Den Haag,"Saturday, April 28, 2012","Seacon Stadion -De Koel- (7,500)"
FC Groningen,1,1,De Graafschap,"Friday, April 27, 2012","Euroborg (21,000)"
ADO Den Haag,1,2,Feyenoord Rotterdam,"Sunday, April 22, 2012","Kyocera Stadion (12,000)"
AZ Alkmaar,2,1,VVV Venlo,"Sunday, April 22, 2012","AFAS Stadion "
PSV Eindhoven,2,1,NEC Nijmegen,"Sunday, April 22, 2012","Philips Stadion "
Ajax Amsterdam,2,0,FC Groningen,"Sunday, April 22, 2012","Amsterdam ArenA (51,405)"
Heerenveen,1,1,Vitesse Arnhem,"Saturday, April 21, 2012","Abe Lenstra Stadion (25,000)"
De Graafschap,2,3,SC Heracles Almelo,"Saturday, April 21, 2012","De Vijverberg "
RKC Waalwijk,0,2,FC Utrecht,"Saturday, April 21, 2012","Mandemakers Stadion "
Excelsior,0,1,Twente Enschede,"Saturday, April 21, 2012","Stadion Woudestein (3,000)"
NAC Breda,0,3,Roda JC Kerkrade,"Friday, April 20, 2012","Rat Verlegh Stadion (17,000)"
FC Groningen,0,1,Roda JC Kerkrade,"Sunday, April 15, 2012","Euroborg (21,000)"
Ajax Amsterdam,3,1,De Graafschap,"Sunday, April 15, 2012","Amsterdam ArenA (52,107)"
FC Utrecht,4,2,VVV Venlo,"Sunday, April 15, 2012","Nieuw Galgenwaard (19,000)"
Vitesse Arnhem,1,0,ADO Den Haag,"Sunday, April 15, 2012","Gelredome (15,261)"
SC Heracles Almelo,1,1,RKC Waalwijk,"Sunday, April 15, 2012","Polman Stadion (8,490)"
PSV Eindhoven,3,2,AZ Alkmaar,"Saturday, April 14, 2012","Philips Stadion (33,000)"
Feyenoord Rotterdam,3,0,Excelsior,"Saturday, April 14, 2012","De Kuip Stadion  (48,000)"
