home, homescore, awayscore, away, date, time
Chelsea, 2, 1, Everton, Sunday 19 May 2013, 16:00
Liverpool, 1, 0, QPR, Sunday 19 May 2013, 16:00
Man City, 2, 3, Norwich, Sunday 19 May 2013, 16:00
Newcastle, 0, 1, Arsenal, Sunday 19 May 2013, 16:00
Southampton, 1, 1, Stoke, Sunday 19 May 2013, 16:00
Swansea, 0, 3, Fulham, Sunday 19 May 2013, 16:00
Spurs, 1, 0, Sunderland, Sunday 19 May 2013, 16:00
West Brom, 5, 5, Man Utd, Sunday 19 May 2013, 16:00
West Ham, 4, 2, Reading, Sunday 19 May 2013, 16:00
Wigan, 2, 2, Aston Villa, Sunday 19 May 2013, 16:00
Reading, 0, 2, Man City, Tuesday 14 May 2013, 20:00
Arsenal, 4, 1, Wigan, Tuesday 14 May 2013, 19:45
Man Utd, 2, 1, Swansea, Sunday 12 May 2013, 16:00
Everton, 2, 0, West Ham, Sunday 12 May 2013, 15:00
Fulham, 1, 3, Liverpool, Sunday 12 May 2013, 15:00
Norwich, 4, 0, West Brom, Sunday 12 May 2013, 15:00
QPR, 1, 2, Newcastle, Sunday 12 May 2013, 15:00
Sunderland, 1, 1, Southampton, Sunday 12 May 2013, 15:00
Stoke, 1, 2, Spurs, Sunday 12 May 2013, 13:30
Aston Villa, 1, 2, Chelsea, Saturday 11 May 2013, 12:45
Chelsea, 2, 2, Spurs, Wednesday 8 May 2013, 19:45
Man City, 1, 0, West Brom, Tuesday 7 May 2013, 19:45
Wigan, 2, 3, Swansea, Tuesday 7 May 2013, 19:45
Sunderland, 1, 1, Stoke, Monday 6 May 2013, 20:00
Man Utd, 0, 1, Chelsea, Sunday 5 May 2013, 16:00
Liverpool, 0, 0, Everton, Sunday 5 May 2013, 13:30
QPR, 0, 1, Arsenal, Saturday 4 May 2013, 17:30
Fulham, 2, 4, Reading, Saturday 4 May 2013, 15:00
Norwich, 1, 2, Aston Villa, Saturday 4 May 2013, 15:00
Swansea, 0, 0, Man City, Saturday 4 May 2013, 15:00
