home, homescore, awayscore, away, date, group
Bayern Munich, 3, 0, Bayer Leverkusen, "Tuesday, May 12, 2009", Allianz Arena (63,000)
FC Cologne, 1, 2, Hertha Berlin, "Tuesday, May 12, 2009", RheinEnergieStadion (48,000)
Karlsruhe, 2, 3, Hannover 96, "Tuesday, May 12, 2009", Wildparkstadion (29,930)
VfL Wolfsburg, 3, 0, Borussia Dortmund, "Tuesday, May 12, 2009", Volkswagen Arena (30,000)
Borussia Monchengladbach, 1, 0, Schalke 04, "Sunday, May 10, 2009", Borussia-Park (54,067)
Werder Bremen, 2, 0, Hamburg SV, "Sunday, May 10, 2009", Weserstadion (42,000)
Borussia Dortmund, 4, 0, Karlsruhe, "Saturday, May 9, 2009", Signal Iduna Park (80,100)
Energie Cottbus, 1, 3, Bayern Munich, "Saturday, May 9, 2009", Stadion der Freundschaft (22,528)
Hannover 96, 1, 1, Eintracht Frankfurt, "Saturday, May 9, 2009", AWD-Arena (44,855)
Hertha Berlin, 2, 0, VfL Bochum, "Saturday, May 9, 2009", Olympiastadion (71,323)
TSG Hoffenheim, 2, 0, FC Cologne, "Saturday, May 9, 2009", WIRSOL Rhein-Neckar-Arena (30,150)
VfB Stuttgart, 4, 1, VfL Wolfsburg, "Saturday, May 9, 2009", Mercedes-Benz Arena (55,700)
Bayer Leverkusen, 2, 2, Arminia Bielefeld, "Friday, May 8, 2009", ESPRIT arena (23,150)
FC Cologne, 1, 0, Werder Bremen, "Sunday, May 3, 2009", RheinEnergieStadion (50,000)
Hamburg SV, 1, 1, Hertha Berlin, "Sunday, May 3, 2009", Imtech Arena (57,000)
Arminia Bielefeld, 2, 2, VfB Stuttgart, "Saturday, May 2, 2009", SchÃ¼coArena (25,800)
Bayern Munich, 2, 1, Borussia Monchengladbach, "Saturday, May 2, 2009", Allianz Arena (69,000)
Eintracht Frankfurt, 0, 2, Borussia Dortmund, "Saturday, May 2, 2009", Commerzbank Arena (51,500)
Karlsruhe, 0, 0, Energie Cottbus, "Saturday, May 2, 2009", Wildparkstadion (26,500)
Schalke 04, 1, 2, Bayer Leverkusen, "Saturday, May 2, 2009", Veltins-Arena (61,162)
VfL Wolfsburg, 4, 0, TSG Hoffenheim, "Saturday, May 2, 2009", Volkswagen Arena (30,000)
VfL Bochum, 0, 2, Hannover 96, "Friday, May 1, 2009", rewirpowerSTADION (26,072)
Borussia Monchengladbach, 1, 1, Arminia Bielefeld, "Sunday, April 26, 2009", Borussia-Park (50,108)
Energie Cottbus, 2, 0, VfL Wolfsburg, "Sunday, April 26, 2009", Stadion der Freundschaft (15,750)
Bayer Leverkusen, 0, 1, Karlsruhe, "Saturday, April 25, 2009", ESPRIT arena (20,000)
Bayern Munich, 0, 1, Schalke 04, "Saturday, April 25, 2009", Allianz Arena (69,000)
Borussia Dortmund, 2, 0, Hamburg SV, "Saturday, April 25, 2009", Signal Iduna Park (50,000)
Hannover 96, 2, 1, FC Cologne, "Saturday, April 25, 2009", AWD-Arena (48,000)
