home, homescore, awayscore, away, date, group
Hannover 96, 1, 0, Bayern Munich, "Saturday, September 27, 2008", AWD-Arena (49,000)
Hertha Berlin, 0, 1, Energie Cottbus, "Saturday, September 27, 2008", Olympiastadion (42,000)
VfL Bochum, 2, 3, Bayer Leverkusen, "Saturday, September 27, 2008", rewirpowerSTADION (24,000)
Werder Bremen, 5, 4, TSG Hoffenheim, "Saturday, September 27, 2008", Weserstadion (40,059)
FC Cologne, 1, 0, Schalke 04, "Friday, September 26, 2008", RheinEnergieStadion (50,000)
TSG Hoffenheim, 4, 1, Borussia Dortmund, "Sunday, September 21, 2008", Carl-Benz-Stadion (26,300)
VfB Stuttgart, 3, 1, Karlsruhe, "Sunday, September 21, 2008", Mercedes-Benz Arena (55,000)
VfL Wolfsburg, 3, 0, Hamburg SV, "Sunday, September 21, 2008", Volkswagen Arena (30,000)
Arminia Bielefeld, 2, 0, FC Cologne, "Saturday, September 20, 2008", SchÃ¼coArena (24,250)
Bayern Munich, 2, 5, Werder Bremen, "Saturday, September 20, 2008", Allianz Arena (69,000)
Borussia Monchengladbach, 0, 1, Hertha Berlin, "Saturday, September 20, 2008", Borussia-Park (45,000)
Energie Cottbus, 1, 1, VfL Bochum, "Saturday, September 20, 2008", Stadion der Freundschaft (14,000)
Schalke 04, 1, 0, Eintracht Frankfurt, "Saturday, September 20, 2008", Veltins-Arena (61,542)
Bayer Leverkusen, 4, 0, Hannover 96, "Friday, September 19, 2008", BayArena (22,000)
Hannover 96, 5, 1, Borussia Monchengladbach, "Sunday, September 14, 2008", AWD-Arena (42,362)
VfL Bochum, 2, 0, Arminia Bielefeld, "Sunday, September 14, 2008", rewirpowerSTADION (21,000)
Borussia Dortmund, 3, 3, Schalke 04, "Saturday, September 13, 2008", Signal Iduna Park (80,552)
FC Cologne, 0, 3, Bayern Munich, "Saturday, September 13, 2008", RheinEnergieStadion (50,000)
Hamburg SV, 3, 2, Bayer Leverkusen, "Saturday, September 13, 2008", Imtech Arena (55,187)
Hertha Berlin, 2, 2, VfL Wolfsburg, "Saturday, September 13, 2008", Olympiastadion (38,921)
TSG Hoffenheim, 0, 0, VfB Stuttgart, "Saturday, September 13, 2008", Carl-Benz-Stadion (26,400)
Werder Bremen, 3, 0, Energie Cottbus, "Saturday, September 13, 2008", Weserstadion (38,714)
Bayern Munich, 4, 1, Hertha Berlin, "Sunday, August 31, 2008", Allianz Arena (69,000)
VfB Stuttgart, 2, 0, Hannover 96, "Sunday, August 31, 2008", Mercedes-Benz Arena (41,000)
Arminia Bielefeld, 2, 4, Hamburg SV, "Saturday, August 30, 2008", SchÃ¼coArena (24,500)
Bayer Leverkusen, 5, 2, TSG Hoffenheim, "Saturday, August 30, 2008", BayArena (22,000)
Borussia Monchengladbach, 3, 2, Werder Bremen, "Saturday, August 30, 2008", Borussia-Park (54,067)
Energie Cottbus, 0, 1, Borussia Dortmund, "Saturday, August 30, 2008", Stadion der Freundschaft (19,000)
Schalke 04, 1, 0, VfL Bochum, "Saturday, August 30, 2008", Veltins-Arena (61,673)
VfL Wolfsburg, 2, 2, Eintracht Frankfurt, "Saturday, August 30, 2008", Volkswagen Arena (23,150)
Karlsruhe, 0, 2, FC Cologne, "Friday, August 29, 2008", Wildparkstadion (29,308)
FC Cologne, 1, 1, Eintracht Frankfurt, "Sunday, August 24, 2008", RheinEnergieStadion (50,000)
VfL Bochum, 2, 2, VfL Wolfsburg, "Sunday, August 24, 2008", rewirpowerSTADION (17,000)
Borussia Dortmund, 1, 1, Bayern Munich, "Saturday, August 23, 2008", Signal Iduna Park (80,552)
Hamburg SV, 2, 1, Karlsruhe, "Saturday, August 23, 2008", Imtech Arena (50,637)
Hertha Berlin, 1, 1, Arminia Bielefeld, "Saturday, August 23, 2008", Olympiastadion (36,302)
TSG Hoffenheim, 1, 0, Borussia Monchengladbach, "Saturday, August 23, 2008", Carl-Benz-Stadion (26,300)
VfB Stuttgart, 0, 2, Bayer Leverkusen, "Saturday, August 23, 2008", Mercedes-Benz Arena (45,000)
Werder Bremen, 1, 1, Schalke 04, "Saturday, August 23, 2008", Weserstadion (42,100)
Hannover 96, 0, 0, Energie Cottbus, "Friday, August 22, 2008", AWD-Arena (36,000)
Borussia Monchengladbach, 1, 3, VfB Stuttgart, "Sunday, August 17, 2008", Borussia-Park (50,000)
Eintracht Frankfurt, 0, 2, Hertha Berlin, "Sunday, August 17, 2008", Commerzbank Arena (44,000)
Arminia Bielefeld, 2, 2, Werder Bremen, "Saturday, August 16, 2008", SchücoArena (24,700)
Bayer Leverkusen, 2, 3, Borussia Dortmund, "Saturday, August 16, 2008", BayArena (21,000)
Energie Cottbus, 0, 3, TSG Hoffenheim, "Saturday, August 16, 2008", Stadion der Freundschaft (19,000)
Karlsruhe, 1, 0, VfL Bochum, "Saturday, August 16, 2008", Wildparkstadion (28,000)
Schalke 04, 3, 0, Hannover 96, "Saturday, August 16, 2008", Veltins-Arena (61,000)
VfL Wolfsburg, 2, 1, FC Cologne, "Saturday, August 16, 2008", Volkswagen Arena (25,000)
Bayern Munich, 2, 2, Hamburg SV, "Friday, August 15, 2008", Allianz Arena (69,000)
