home,homescore,awayscore,away,date,location
Twente Enschede,2,0,Vitesse Arnhem,"Sunday, May 14, 2006"," "
Vitesse Arnhem,1,1,Twente Enschede,"Thursday, May 11, 2006","Gelredome "
Willem II Tilburg,2,1,De Graafschap,"Tuesday, May 9, 2006","Willem II  "
NAC Breda,0,0,FC Volendam,"Monday, May 8, 2006","Fujifilm  "
De Graafschap,0,1,Willem II Tilburg,"Friday, May 5, 2006","Atanasio Girardot "
FC Volendam,1,2,NAC Breda,"Friday, May 5, 2006","Veronica Stadion "
FC Groningen,2,1,Ajax Amsterdam,"Wednesday, May 3, 2006","Oosterpark  "
Heerenveen,5,0,Twente Enschede,"Wednesday, May 3, 2006","Abe Lenstra Stadion "
NEC Nijmegen,1,2,Vitesse Arnhem,"Wednesday, May 3, 2006","De Goffert "
Twente Enschede,0,1,Heerenveen,"Sunday, April 30, 2006","Arke Stadion (12,700)"
FC Oss,1,3,NAC Breda,"Friday, April 28, 2006","TOP Oss Stadion "
Helmond Sport,1,2,FC Volendam,"Friday, April 28, 2006","Stadion de Braak "
Ajax Amsterdam,2,0,FC Groningen,"Wednesday, April 26, 2006","Amsterdam ArenA "
FC Utrecht,1,3,Twente Enschede,"Wednesday, April 26, 2006","Nieuwe Galgenwaard "
Heerenveen,1,0,Roda JC Kerkrade,"Wednesday, April 26, 2006","Abe Lenstra Stadion "
Vitesse Arnhem,0,0,NEC Nijmegen,"Wednesday, April 26, 2006","Gelredome (12,928)"
FC Volendam,2,3,Helmond Sport,"Monday, April 24, 2006","Veronica Stadion "
NAC Breda,2,2,FC Oss,"Monday, April 24, 2006","Fujifilm  "
VVV Venlo,2,4,De Graafschap,"Monday, April 24, 2006","De Koel "
Willem II Tilburg,6,2,PEC Zwolle,"Monday, April 24, 2006","Willem II  "
Feyenoord Rotterdam,2,4,Ajax Amsterdam,"Sunday, April 23, 2006","De Kuip Stadion  "
AZ Alkmaar,2,1,FC Groningen,"Sunday, April 23, 2006","Alkmaarder Hout "
NEC Nijmegen,2,3,SC Heracles Almelo,"Sunday, April 23, 2006","De Goffert "
Vitesse Arnhem,2,0,RKC Waalwijk,"Sunday, April 23, 2006","Gelredome "
Twente Enschede,2,0,FC Utrecht,"Saturday, April 22, 2006"," (10,500)"
Roda JC Kerkrade,0,0,Heerenveen,"Saturday, April 22, 2006"," (8,500)"
De Graafschap,1,1,VVV Venlo,"Friday, April 21, 2006"," "
FC Oss,0,0,NAC Breda,"Friday, April 21, 2006"," "
Helmond Sport,0,1,FC Volendam,"Friday, April 21, 2006"," "
PEC Zwolle,2,4,Willem II Tilburg,"Friday, April 21, 2006"," "
FC Groningen,3,1,AZ Alkmaar,"Thursday, April 20, 2006"," (20,000)"
Ajax Amsterdam,3,0,Feyenoord Rotterdam,"Thursday, April 20, 2006"," "
RKC Waalwijk,4,4,Vitesse Arnhem,"Wednesday, April 19, 2006"," (400)"
SC Heracles Almelo,0,2,NEC Nijmegen,"Wednesday, April 19, 2006"," (8,000)"
ADO Den Haag,0,2,Sparta Rotterdam,"Sunday, April 16, 2006","Het Zuiderpark "
FC Utrecht,1,4,Willem II Tilburg,"Sunday, April 16, 2006","Nieuwe Galgenwaard (22,500)"
Feyenoord Rotterdam,2,0,RBC Roosendaal,"Sunday, April 16, 2006","De Kuip Stadion  "
Heerenveen,2,4,AZ Alkmaar,"Sunday, April 16, 2006","Abe Lenstra Stadion "
NAC Breda,2,6,PSV Eindhoven,"Sunday, April 16, 2006","Fujifilm  (17,000)"
RKC Waalwijk,2,4,Ajax Amsterdam,"Sunday, April 16, 2006","Sportp. Olympia/Mandemakers Stadion "
Roda JC Kerkrade,2,1,SC Heracles Almelo,"Sunday, April 16, 2006","Parkstad Limburg Stadion "
Twente Enschede,1,1,FC Groningen,"Sunday, April 16, 2006","Arke Stadion (13,000)"
Vitesse Arnhem,1,1,NEC Nijmegen,"Sunday, April 16, 2006","Gelredome (21,250)"
Ajax Amsterdam,2,1,Vitesse Arnhem,"Wednesday, April 12, 2006","Amsterdam ArenA "
AZ Alkmaar,0,0,Twente Enschede,"Wednesday, April 12, 2006","Alkmaarder Hout "
FC Groningen,2,1,FC Utrecht,"Wednesday, April 12, 2006","Oosterpark  "
NEC Nijmegen,0,3,Roda JC Kerkrade,"Wednesday, April 12, 2006","De Goffert (11,500)"
PSV Eindhoven,1,1,Feyenoord Rotterdam,"Wednesday, April 12, 2006","Philipsstadion (34,300)"
RBC Roosendaal,1,2,ADO Den Haag,"Wednesday, April 12, 2006","Vast & Goed Stadion "
SC Heracles Almelo,4,2,NAC Breda,"Wednesday, April 12, 2006","Polman Stadion "
Sparta Rotterdam,3,2,RKC Waalwijk,"Wednesday, April 12, 2006","ENECO "
Willem II Tilburg,4,3,Heerenveen,"Wednesday, April 12, 2006","Willem II  (18,800)"
Ajax Amsterdam,1,0,AZ Alkmaar,"Sunday, April 9, 2006","Amsterdam ArenA (50,150)"
PSV Eindhoven,1,1,FC Groningen,"Sunday, April 9, 2006","Philipsstadion "
Twente Enschede,2,0,ADO Den Haag,"Sunday, April 9, 2006","Arke Stadion (13,000)"
Vitesse Arnhem,1,0,FC Utrecht,"Sunday, April 9, 2006","Gelredome "
Willem II Tilburg,2,2,Roda JC Kerkrade,"Sunday, April 9, 2006","Willem II  (12,450)"
NAC Breda,2,1,NEC Nijmegen,"Saturday, April 8, 2006","Fujifilm  (15,630)"
RKC Waalwijk,0,2,SC Heracles Almelo,"Saturday, April 8, 2006","Sportp. Olympia/Mandemakers Stadion (7,100)"
Sparta Rotterdam,5,0,RBC Roosendaal,"Saturday, April 8, 2006","ENECO "
Heerenveen,1,1,Feyenoord Rotterdam,"Friday, April 7, 2006","Abe Lenstra Stadion (21,500)"
AZ Alkmaar,3,2,NAC Breda,"Tuesday, April 4, 2006","Alkmaarder Hout (8,429)"
Roda JC Kerkrade,2,1,Ajax Amsterdam,"Sunday, April 2, 2006","Parkstad Limburg Stadion "
FC Groningen,2,1,Vitesse Arnhem,"Sunday, April 2, 2006","Oosterpark  "
Feyenoord Rotterdam,4,2,Twente Enschede,"Sunday, April 2, 2006","De Kuip Stadion  "
ADO Den Haag,1,1,Willem II Tilburg,"Saturday, April 1, 2006","Het Zuiderpark "
RBC Roosendaal,1,2,PSV Eindhoven,"Saturday, April 1, 2006","Vast & Goed Stadion "
SC Heracles Almelo,1,0,Sparta Rotterdam,"Saturday, April 1, 2006","Polman Stadion (8,500)"
NEC Nijmegen,4,1,Heerenveen,"Saturday, April 1, 2006","De Goffert (12,000)"
FC Utrecht,3,1,RKC Waalwijk,"Friday, March 31, 2006","Nieuwe Galgenwaard (19,500)"
Feyenoord Rotterdam,0,2,ADO Den Haag,"Sunday, March 26, 2006","De Kuip Stadion  "
Ajax Amsterdam,1,1,NAC Breda,"Sunday, March 26, 2006","Amsterdam ArenA (47,700)"
FC Utrecht,1,0,SC Heracles Almelo,"Sunday, March 26, 2006","Nieuwe Galgenwaard (19,500)"
RKC Waalwijk,0,1,AZ Alkmaar,"Sunday, March 26, 2006","Sportp. Olympia/Mandemakers Stadion (6,800)"
Roda JC Kerkrade,5,1,RBC Roosendaal,"Saturday, March 25, 2006","Parkstad Limburg Stadion "
Willem II Tilburg,0,3,PSV Eindhoven,"Saturday, March 25, 2006","Willem II  "
NEC Nijmegen,2,2,FC Groningen,"Saturday, March 25, 2006","De Goffert (12,000)"
Twente Enschede,1,2,Heerenveen,"Saturday, March 25, 2006","Arke Stadion "
Vitesse Arnhem,3,1,Sparta Rotterdam,"Friday, March 24, 2006","Gelredome (19,000)"
AZ Alkmaar,1,0,Feyenoord Rotterdam,"Sunday, March 19, 2006","Alkmaarder Hout (8,845)"
FC Groningen,3,2,Ajax Amsterdam,"Sunday, March 19, 2006","Oosterpark  "
RBC Roosendaal,1,1,Twente Enschede,"Sunday, March 19, 2006","Vast & Goed Stadion "
Sparta Rotterdam,0,1,FC Utrecht,"Sunday, March 19, 2006","ENECO "
ADO Den Haag,1,1,Roda JC Kerkrade,"Saturday, March 18, 2006","Het Zuiderpark "
Heerenveen,2,1,RKC Waalwijk,"Saturday, March 18, 2006","Abe Lenstra Stadion (20,800)"
PSV Eindhoven,1,0,NEC Nijmegen,"Saturday, March 18, 2006","Philipsstadion (33,000)"
SC Heracles Almelo,1,0,Willem II Tilburg,"Saturday, March 18, 2006","Polman Stadion (8,500)"
NAC Breda,2,2,Vitesse Arnhem,"Friday, March 17, 2006","Fujifilm  "
FC Utrecht,2,0,Heerenveen,"Sunday, March 12, 2006","Nieuwe Galgenwaard (20,000)"
Feyenoord Rotterdam,1,1,RKC Waalwijk,"Sunday, March 12, 2006","De Kuip Stadion  "
Vitesse Arnhem,5,1,RBC Roosendaal,"Sunday, March 12, 2006","Gelredome "
