home,homescore,awayscore,away,date,location
FC Groningen,0,1,Vitesse Arnhem,"Sunday, April 1, 2001"," "
RKC Waalwijk,2,0,Feyenoord Rotterdam,"Sunday, April 1, 2001"," "
Sparta Rotterdam,0,1,FC Utrecht,"Sunday, April 1, 2001"," "
NEC Nijmegen,1,0,Ajax Amsterdam,"Sunday, April 1, 2001"," "
NAC Breda,1,0,Fortuna Sittard,"Saturday, March 31, 2001"," "
Heerenveen,2,0,RBC Roosendaal,"Saturday, March 31, 2001"," "
Willem II Tilburg,1,1,Roda JC Kerkrade,"Saturday, March 31, 2001"," "
AZ Alkmaar,0,1,De Graafschap,"Saturday, March 31, 2001"," "
PSV Eindhoven,2,1,Twente Enschede,"Saturday, March 31, 2001"," "
Ajax Amsterdam,9,0,Sparta Rotterdam,"Sunday, March 18, 2001","Amsterdam ArenA "
Feyenoord Rotterdam,5,1,Twente Enschede,"Sunday, March 18, 2001","Stadion Feyenoord "
NEC Nijmegen,1,0,FC Groningen,"Sunday, March 18, 2001","De Goffert "
PSV Eindhoven,5,1,FC Utrecht,"Sunday, March 18, 2001","Philips Stadion "
RKC Waalwijk,3,2,Willem II Tilburg,"Sunday, March 18, 2001","Mandemakers Stadion "
AZ Alkmaar,0,2,Fortuna Sittard,"Saturday, March 17, 2001","Alkmaarder Hout "
NAC Breda,2,2,Heerenveen,"Saturday, March 17, 2001","Fujifilm Stadion "
Roda JC Kerkrade,3,1,De Graafschap,"Saturday, March 17, 2001","Parkstad Limburg Stadion "
RBC Roosendaal,0,3,Vitesse Arnhem,"Friday, March 16, 2001","Vast & Goed Stadion "
FC Groningen,3,3,Ajax Amsterdam,"Sunday, March 11, 2001","Oosterpark Stadion "
FC Utrecht,0,0,Vitesse Arnhem,"Sunday, March 11, 2001","De Nieuwe Galgenwaard "
Willem II Tilburg,3,1,Feyenoord Rotterdam,"Sunday, March 11, 2001","Willem II Stadion "
AZ Alkmaar,1,3,RKC Waalwijk,"Saturday, March 10, 2001","Alkmaarder Hout "
Fortuna Sittard,2,1,RBC Roosendaal,"Saturday, March 10, 2001","Wagner & Partners Stadion "
Twente Enschede,1,1,NEC Nijmegen,"Saturday, March 10, 2001","Arke Stadion "
Roda JC Kerkrade,1,0,NAC Breda,"Friday, March 9, 2001"," "
De Graafschap,0,1,Heerenveen,"Friday, March 9, 2001"," "
FC Utrecht,1,0,Fortuna Sittard,"Sunday, March 4, 2001"," "
NEC Nijmegen,1,1,AZ Alkmaar,"Sunday, March 4, 2001"," "
Sparta Rotterdam,5,1,Twente Enschede,"Sunday, March 4, 2001"," "
Vitesse Arnhem,0,0,Feyenoord Rotterdam,"Sunday, March 4, 2001"," "
RBC Roosendaal,1,3,Ajax Amsterdam,"Sunday, March 4, 2001"," "
PSV Eindhoven,0,0,Roda JC Kerkrade,"Saturday, March 3, 2001"," "
Willem II Tilburg,6,0,De Graafschap,"Saturday, March 3, 2001"," "
Heerenveen,0,0,FC Groningen,"Friday, March 2, 2001"," "
RKC Waalwijk,0,0,NAC Breda,"Friday, March 2, 2001"," "
FC Groningen,0,0,NAC Breda,"Sunday, February 25, 2001"," "
Feyenoord Rotterdam,1,2,PSV Eindhoven,"Sunday, February 25, 2001"," "
Ajax Amsterdam,2,0,FC Utrecht,"Sunday, February 25, 2001"," "
Twente Enschede,2,1,Vitesse Arnhem,"Saturday, February 24, 2001"," "
AZ Alkmaar,2,4,Roda JC Kerkrade,"Saturday, February 24, 2001"," "
RKC Waalwijk,1,0,Fortuna Sittard,"Saturday, February 24, 2001"," "
NEC Nijmegen,0,3,Sparta Rotterdam,"Friday, February 23, 2001"," "
Willem II Tilburg,1,6,Heerenveen,"Friday, February 23, 2001"," "
NAC Breda,0,0,Twente Enschede,"Wednesday, February 21, 2001"," "
NAC Breda,1,2,PSV Eindhoven,"Sunday, February 18, 2001"," "
FC Groningen,2,0,Twente Enschede,"Sunday, February 18, 2001"," "
FC Utrecht,3,1,De Graafschap,"Sunday, February 18, 2001"," "
Sparta Rotterdam,2,2,RKC Waalwijk,"Sunday, February 18, 2001"," "
Heerenveen,0,0,Roda JC Kerkrade,"Saturday, February 17, 2001"," "
RBC Roosendaal,2,3,AZ Alkmaar,"Saturday, February 17, 2001"," "
Fortuna Sittard,0,3,Ajax Amsterdam,"Friday, February 16, 2001"," "
Ajax Amsterdam,1,1,Willem II Tilburg,"Sunday, February 11, 2001"," "
FC Utrecht,1,1,NEC Nijmegen,"Sunday, February 11, 2001"," "
RKC Waalwijk,3,0,Vitesse Arnhem,"Sunday, February 11, 2001"," "
Roda JC Kerkrade,2,1,RBC Roosendaal,"Sunday, February 11, 2001"," "
Feyenoord Rotterdam,1,0,FC Groningen,"Sunday, February 11, 2001"," "
PSV Eindhoven,3,0,AZ Alkmaar,"Saturday, February 10, 2001"," "
De Graafschap,2,1,Sparta Rotterdam,"Friday, February 9, 2001"," "
AZ Alkmaar,0,3,Feyenoord Rotterdam,"Sunday, February 4, 2001"," "
Vitesse Arnhem,2,2,NEC Nijmegen,"Sunday, February 4, 2001"," "
Sparta Rotterdam,0,1,PSV Eindhoven,"Sunday, February 4, 2001"," "
De Graafschap,1,2,Ajax Amsterdam,"Thursday, February 1, 2001"," "
Vitesse Arnhem,2,4,NAC Breda,"Wednesday, January 31, 2001"," "
Fortuna Sittard,1,0,Roda JC Kerkrade,"Wednesday, January 31, 2001"," "
Heerenveen,1,0,Feyenoord Rotterdam,"Wednesday, January 31, 2001"," "
NEC Nijmegen,2,3,RBC Roosendaal,"Wednesday, January 31, 2001"," "
PSV Eindhoven,3,0,FC Groningen,"Wednesday, January 31, 2001"," "
Willem II Tilburg,4,1,Sparta Rotterdam,"Wednesday, January 31, 2001"," "
Feyenoord Rotterdam,2,0,NAC Breda,"Sunday, January 28, 2001"," "
PSV Eindhoven,6,0,RBC Roosendaal,"Saturday, January 27, 2001"," "
FC Groningen,2,1,Heerenveen,"Thursday, December 21, 2000"," "
PSV Eindhoven,1,1,Fortuna Sittard,"Thursday, December 21, 2000"," "
RBC Roosendaal,2,2,Twente Enschede,"Thursday, December 21, 2000"," "
FC Utrecht,2,1,RKC Waalwijk,"Wednesday, December 20, 2000"," "
Feyenoord Rotterdam,2,0,Vitesse Arnhem,"Wednesday, December 20, 2000"," "
Willem II Tilburg,2,0,NEC Nijmegen,"Wednesday, December 20, 2000"," "
AZ Alkmaar,0,5,PSV Eindhoven,"Sunday, December 17, 2000"," "
De Graafschap,0,3,FC Utrecht,"Sunday, December 17, 2000"," "
FC Groningen,1,0,Feyenoord Rotterdam,"Sunday, December 17, 2000"," "
NEC Nijmegen,0,2,Roda JC Kerkrade,"Sunday, December 17, 2000"," "
RBC Roosendaal,0,3,Heerenveen,"Sunday, December 17, 2000"," "
RKC Waalwijk,2,0,Sparta Rotterdam,"Sunday, December 17, 2000"," "
Ajax Amsterdam,5,1,Twente Enschede,"Sunday, December 17, 2000"," "
NAC Breda,1,1,Vitesse Arnhem,"Saturday, December 16, 2000"," "
Willem II Tilburg,3,1,Fortuna Sittard,"Saturday, December 16, 2000"," "
Sparta Rotterdam,1,2,NAC Breda,"Wednesday, December 13, 2000"," "
Fortuna Sittard,2,4,Feyenoord Rotterdam,"Wednesday, December 13, 2000"," "
Heerenveen,0,1,Willem II Tilburg,"Wednesday, December 13, 2000"," "
Vitesse Arnhem,3,2,AZ Alkmaar,"Wednesday, December 13, 2000"," "
RKC Waalwijk,1,1,PSV Eindhoven,"Tuesday, December 12, 2000"," "
Twente Enschede,0,2,Roda JC Kerkrade,"Tuesday, December 12, 2000"," "
FC Utrecht,5,0,NAC Breda,"Sunday, December 10, 2000"," "
Feyenoord Rotterdam,3,1,Ajax Amsterdam,"Sunday, December 10, 2000"," "
Ajax Amsterdam,6,2,Heerenveen,"Sunday, December 3, 2000"," "
NEC Nijmegen,1,0,Twente Enschede,"Sunday, December 3, 2000"," "
RKC Waalwijk,0,0,FC Groningen,"Sunday, December 3, 2000"," "
Fortuna Sittard,0,1,FC Utrecht,"Saturday, December 2, 2000"," "
Willem II Tilburg,1,1,AZ Alkmaar,"Saturday, December 2, 2000"," "
Sparta Rotterdam,2,1,De Graafschap,"Saturday, December 2, 2000"," "
PSV Eindhoven,2,1,Roda JC Kerkrade,"Friday, December 1, 2000"," "
Roda JC Kerkrade,1,2,PSV Eindhoven,"Friday, December 1, 2000"," "
