home,homescore,awayscore,away,date,location
Parma,1,1,Genoa,"Sunday, March 23, 2014","Stadio Ennio Tardini (12,000)"
Bologna,1,0,Cagliari,"Sunday, March 23, 2014","Stadio Renato Della`Ara (21,000)"
Internazionale,1,2,Atalanta,"Sunday, March 23, 2014","Stadio Giuseppe Meazza "
Sampdoria,5,0,Hellas Verona,"Sunday, March 23, 2014","Comunale Luigi Ferraris "
Udinese,1,0,Sassuolo,"Sunday, March 23, 2014","Stadio Friuli "
Napoli,0,1,Fiorentina,"Sunday, March 23, 2014","Stadio San Paolo "
Catania,0,1,Juventus,"Sunday, March 23, 2014","Stadio Angelo Massimino "
Lazio,1,1,AC Milan,"Sunday, March 23, 2014","Stadio Olimpico "
Torino,3,1,Livorno,"Saturday, March 22, 2014","Stadio Olimpico (17,000)"
Chievo Verona,0,2,AS Roma,"Saturday, March 22, 2014","Bentegodi "
Torino,0,1,Napoli,"Monday, March 17, 2014","Stadio Olimpico (21,780)"
AS Roma,3,2,Udinese,"Monday, March 17, 2014","Stadio Olimpico (34,274)"
Atalanta,3,0,Sampdoria,"Sunday, March 16, 2014","Atleti Azzurri d'Italia (14,000)"
AC Milan,2,4,Parma,"Sunday, March 16, 2014","San Siro (39,249)"
Cagliari,0,2,Lazio,"Sunday, March 16, 2014","Sant'Elia (4,798)"
Livorno,2,1,Bologna,"Sunday, March 16, 2014","Stadio Armando Picchi (10,171)"
Sassuolo,3,1,Catania,"Sunday, March 16, 2014","Stadio Braglia (12,116)"
Fiorentina,3,1,Chievo Verona,"Sunday, March 16, 2014","Artemio Franchi "
Genoa,0,1,Juventus,"Sunday, March 16, 2014","Luigi Ferraris (23,832)"
Hellas Verona,0,2,Internazionale,"Saturday, March 15, 2014","Marc' Antonio Bentegodi "
Juventus,1,0,Fiorentina,"Sunday, March 9, 2014","Juventus Stadium "
Bologna,0,0,Sassuolo,"Sunday, March 9, 2014","Renato Dall'Ara "
Chievo Verona,2,1,Genoa,"Sunday, March 9, 2014","Bentegodi "
Internazionale,1,0,Torino,"Sunday, March 9, 2014","Stadio Giuseppe Meazza "
Lazio,0,1,Atalanta,"Sunday, March 9, 2014","Stadio Olimpico (33,000)"
Parma,2,0,Hellas Verona,"Sunday, March 9, 2014","Ennio Tardini (12,000)"
Sampdoria,4,2,Livorno,"Sunday, March 9, 2014","Luigi  Ferraris "
Napoli,1,0,AS Roma,"Sunday, March 9, 2014","San Paolo (42,000)"
Udinese,1,0,AC Milan,"Saturday, March 8, 2014","Stadio Friuli "
Catania,1,1,Cagliari,"Saturday, March 8, 2014","Angelo Massimino (14,653)"
Cagliari,3,0,Udinese,"Sunday, March 2, 2014","Sant'Elia (4,500)"
Atalanta,2,1,Chievo Verona,"Sunday, March 2, 2014","Atleti Azzurri d'Italia (12,091)"
Genoa,2,0,Catania,"Sunday, March 2, 2014","Luigi Ferraris (18,092)"
Hellas Verona,0,0,Bologna,"Sunday, March 2, 2014","Marc' Antonio Bentegodi (20,000)"
Sassuolo,0,1,Parma,"Sunday, March 2, 2014","Stadio Braglia (13,000)"
Torino,0,2,Sampdoria,"Sunday, March 2, 2014","Stadio Olimpico (13,975)"
Livorno,1,1,Napoli,"Sunday, March 2, 2014","Stadio Armando Picchi (10,000)"
AC Milan,0,2,Juventus,"Sunday, March 2, 2014","San Siro (50,000)"
Fiorentina,0,1,Lazio,"Sunday, March 2, 2014","Artemio Franchi (28,488)"
AS Roma,0,0,Internazionale,"Saturday, March 1, 2014","Stadio Olimpico (37,464)"
Parma,2,2,Fiorentina,"Monday, February 24, 2014","Ennio Tardini "
Napoli,1,1,Genoa,"Monday, February 24, 2014","San Paolo "
Livorno,2,3,Hellas Verona,"Sunday, February 23, 2014","Stadio Armando Picchi (10,000)"
Chievo Verona,2,0,Catania,"Sunday, February 23, 2014","Bentegodi (11,000)"
Internazionale,1,1,Cagliari,"Sunday, February 23, 2014","Stadio Giuseppe Meazza (48,000)"
Sampdoria,0,2,AC Milan,"Sunday, February 23, 2014","Luigi  Ferraris (22,000)"
Udinese,1,1,Atalanta,"Sunday, February 23, 2014","Stadio Friuli (13,000)"
Juventus,1,0,Torino,"Sunday, February 23, 2014","Juventus Stadium (38,717)"
Lazio,3,2,Sassuolo,"Sunday, February 23, 2014","Stadio Olimpico (32,000)"
Bologna,0,1,AS Roma,"Saturday, February 22, 2014","Renato Dall'Ara "
Hellas Verona,1,3,Torino,"Monday, February 17, 2014","Marcel' Antonio Bentegodi "
Catania,3,1,Lazio,"Sunday, February 16, 2014","Angelo Massimino (12,487)"
Atalanta,0,4,Parma,"Sunday, February 16, 2014","Atleti Azzurri d'Italia (14,000)"
Cagliari,1,2,Livorno,"Sunday, February 16, 2014","Sant'Elia (4,798)"
Genoa,3,3,Udinese,"Sunday, February 16, 2014","Luigi Ferraris (18,061)"
Juventus,3,1,Chievo Verona,"Sunday, February 16, 2014","Juventus Stadium (38,000)"
Sassuolo,0,2,Napoli,"Sunday, February 16, 2014","Stadio Braglia (17,713)"
AS Roma,3,0,Sampdoria,"Sunday, February 16, 2014","Stadio Olimpico (40,000)"
Fiorentina,1,2,Internazionale,"Saturday, February 15, 2014","Artemio Franchi "
AC Milan,1,0,Bologna,"Friday, February 14, 2014","San Siro (40,000)"
Torino,1,2,Bologna,"Sunday, February 9, 2014","Stadio Olimpico (17,000)"
Hellas Verona,2,2,Juventus,"Sunday, February 9, 2014","Marcel' Antonio Bentegodi (25,140)"
Lazio,0,0,AS Roma,"Sunday, February 9, 2014","Stadio Olimpico (32,000)"
Livorno,0,1,Genoa,"Sunday, February 9, 2014","Stadio Armando Picchi (9,470)"
Parma,0,0,Catania,"Sunday, February 9, 2014","Ennio Tardini (10,609)"
Sampdoria,1,0,Cagliari,"Sunday, February 9, 2014","Luigi  Ferraris (22,000)"
