home, homescore, awayscore, away, date, time
Birmingham, 2, 2, West Ham, Sunday 11 May 2003, 15:00
Bolton, 2, 1, Middlesbrough, Sunday 11 May 2003, 15:00
Charlton, 0, 1, Fulham, Sunday 11 May 2003, 15:00
Chelsea, 2, 1, Liverpool, Sunday 11 May 2003, 15:00
Everton, 1, 2, Man Utd, Sunday 11 May 2003, 15:00
Leeds, 3, 1, Aston Villa, Sunday 11 May 2003, 15:00
Man City, 0, 1, Southampton, Sunday 11 May 2003, 15:00
Sunderland, 0, 4, Arsenal, Sunday 11 May 2003, 15:00
Spurs, 0, 4, Blackburn, Sunday 11 May 2003, 15:00
West Brom, 2, 2, Newcastle, Sunday 11 May 2003, 15:00
Arsenal, 6, 1, Southampton, Wednesday 7 May 2003, 19:45
Arsenal, 2, 3, Leeds, Sunday 4 May 2003, 16:05
Southampton, 0, 0, Bolton, Saturday 3 May 2003, 17:30
Aston Villa, 1, 0, Sunderland, Saturday 3 May 2003, 15:00
Blackburn, 1, 1, West Brom, Saturday 3 May 2003, 15:00
Fulham, 2, 0, Everton, Saturday 3 May 2003, 15:00
Liverpool, 1, 2, Man City, Saturday 3 May 2003, 15:00
Middlesbrough, 5, 1, Spurs, Saturday 3 May 2003, 15:00
Newcastle, 1, 0, Birmingham, Saturday 3 May 2003, 15:00
West Ham, 1, 0, Chelsea, Saturday 3 May 2003, 15:00
Man Utd, 4, 1, Charlton, Saturday 3 May 2003, 12:30
Spurs, 0, 2, Man Utd, Sunday 27 April 2003, 16:05
Man City, 0, 1, West Ham, Sunday 27 April 2003, 14:00
Birmingham, 3, 0, Middlesbrough, Saturday 26 April 2003, 15:00
Charlton, 2, 1, Southampton, Saturday 26 April 2003, 15:00
Chelsea, 1, 1, Fulham, Saturday 26 April 2003, 15:00
Everton, 2, 1, Aston Villa, Saturday 26 April 2003, 15:00
Leeds, 2, 3, Blackburn, Saturday 26 April 2003, 15:00
Sunderland, 0, 1, Newcastle, Saturday 26 April 2003, 15:00
West Brom, 0, 6, Liverpool, Saturday 26 April 2003, 15:00
Bolton, 2, 2, Arsenal, Saturday 26 April 2003, 12:30
