home,homescore,awayscore,away,date,location
Dundee United,0,2,Hibernian,"Sunday, May 9, 2010","Tannadice Park (6,527)"
Heart of Midlothian,1,2,Celtic,"Sunday, May 9, 2010","Tynecastle Stadium (14,389)"
Rangers,3,3,Motherwell,"Sunday, May 9, 2010","Ibrox Stadium (50,321)"
Kilmarnock,0,0,Falkirk,"Saturday, May 8, 2010","Rugby Park (10,662)"
St Johnstone,2,3,Hamilton Academical ,"Saturday, May 8, 2010","McDiarmid Park (3,188)"
St Mirren,0,1,Aberdeen,"Saturday, May 8, 2010","St Mirren Park (4,022)"
Hamilton Academical ,0,0,St Mirren,"Wednesday, May 5, 2010","New Douglas Park (3,102)"
Aberdeen,1,2,Kilmarnock,"Wednesday, May 5, 2010","Pittodrie Stadium (6,097)"
Falkirk,0,0,St Johnstone,"Wednesday, May 5, 2010","Falkirk Stadium (5,502)"
Heart of Midlothian,0,0,Dundee United,"Wednesday, May 5, 2010","Tynecastle Stadium (12,325)"
Motherwell,6,6,Hibernian,"Wednesday, May 5, 2010","Fir Park Stadium (6,241)"
Celtic,2,1,Rangers,"Tuesday, May 4, 2010","Celtic Park (58,000)"
Hibernian,1,2,Heart of Midlothian,"Saturday, May 1, 2010","Easter Road Stadium (11,277)"
Aberdeen,1,3,Hamilton Academical ,"Saturday, May 1, 2010","Pittodrie Stadium (7,099)"
Celtic,4,0,Motherwell,"Saturday, May 1, 2010","Celtic Park (24,000)"
Dundee United,1,2,Rangers,"Saturday, May 1, 2010","Tannadice Park (10,003)"
Falkirk,1,1,St Mirren,"Saturday, May 1, 2010","Falkirk Stadium (5,919)"
Kilmarnock,1,2,St Johnstone,"Saturday, May 1, 2010","Rugby Park (4,679)"
Dundee United,0,2,Celtic,"Sunday, April 25, 2010","Tannadice Park (8,638)"
Hibernian,0,1,Rangers,"Sunday, April 25, 2010","Easter Road Stadium (10,573)"
St Johnstone,1,1,Aberdeen,"Saturday, April 24, 2010","McDiarmid Park (3,295)"
Falkirk,0,1,Hamilton Academical ,"Saturday, April 24, 2010","Falkirk Stadium (5,118)"
Heart of Midlothian,0,2,Motherwell,"Saturday, April 24, 2010","Tynecastle Stadium (13,447)"
St Mirren,1,0,Kilmarnock,"Saturday, April 24, 2010","St Mirren Park (5,639)"
Rangers,2,0,Heart of Midlothian,"Sunday, April 18, 2010","Ibrox Stadium (47,590)"
Motherwell,2,3,Dundee United,"Sunday, April 18, 2010","Fir Park Stadium (3,544)"
Celtic,3,2,Hibernian,"Saturday, April 17, 2010","Celtic Park (29,650)"
Aberdeen,1,0,Falkirk,"Saturday, April 17, 2010","Pittodrie Stadium (10,461)"
Hamilton Academical ,3,0,Kilmarnock,"Saturday, April 17, 2010","New Douglas Park (2,628)"
St Johnstone,2,2,St Mirren,"Saturday, April 17, 2010","McDiarmid Park (3,557)"
Dundee United,0,0,Rangers,"Wednesday, April 14, 2010","Tannadice Park (11,100)"
Celtic,2,1,Motherwell,"Tuesday, April 13, 2010","Celtic Park (27,750)"
Aberdeen,1,3,St Johnstone,"Sunday, April 11, 2010","Pittodrie Stadium (7,568)"
Falkirk,2,1,St Mirren,"Saturday, April 10, 2010","Falkirk Stadium (5,671)"
Hamilton Academical ,4,1,Hibernian,"Saturday, April 10, 2010","New Douglas Park (2,520)"
Heart of Midlothian,1,0,Kilmarnock,"Saturday, April 10, 2010","Tynecastle Stadium (14,015)"
Rangers,3,1,Aberdeen,"Wednesday, April 7, 2010","Ibrox Stadium (47,061)"
St Johnstone,0,1,Dundee United,"Monday, April 5, 2010","McDiarmid Park (5,769)"
Hibernian,0,1,Celtic,"Sunday, April 4, 2010","Easter Road Stadium (10,523)"
Kilmarnock,2,0,Aberdeen,"Sunday, April 4, 2010","Rugby Park (4,825)"
Motherwell,0,1,Falkirk,"Saturday, April 3, 2010","Fir Park Stadium (4,268)"
Rangers,1,0,Hamilton Academical ,"Saturday, April 3, 2010","Ibrox Stadium (48,068)"
St Mirren,1,1,Heart of Midlothian,"Saturday, April 3, 2010","St Mirren Park (4,204)"
Hibernian,2,4,Dundee United,"Wednesday, March 31, 2010","Easter Road Stadium (9,185)"
St Johnstone,4,1,Rangers,"Tuesday, March 30, 2010","McDiarmid Park (6,189)"
Heart of Midlothian,1,4,Rangers,"Saturday, March 27, 2010","Tynecastle Stadium (16,832)"
Aberdeen,2,1,St Mirren,"Saturday, March 27, 2010","Pittodrie Stadium (8,764)"
Celtic,3,1,Kilmarnock,"Saturday, March 27, 2010","Celtic Park (41,000)"
Dundee United,3,0,Motherwell,"Saturday, March 27, 2010","Tannadice Park (7,609)"
Falkirk,1,3,Hibernian,"Saturday, March 27, 2010","Falkirk Stadium (5,460)"
Hamilton Academical ,1,0,St Johnstone,"Saturday, March 27, 2010","New Douglas Park (2,245)"
Kilmarnock,1,2,Hamilton Academical ,"Wednesday, March 24, 2010","Rugby Park (4,068)"
St Mirren,4,0,Celtic,"Wednesday, March 24, 2010","St Mirren Park (5,018)"
St Johnstone,1,1,Falkirk,"Tuesday, March 23, 2010","McDiarmid Park (3,107)"
Heart of Midlothian,2,1,Hibernian,"Saturday, March 20, 2010","Tynecastle Stadium (17,126)"
Aberdeen,2,2,Dundee United,"Saturday, March 20, 2010","Pittodrie Stadium (9,316)"
Celtic,3,0,St Johnstone,"Saturday, March 20, 2010","Celtic Park (30,000)"
Hamilton Academical ,2,2,Falkirk,"Saturday, March 20, 2010","New Douglas Park (2,461)"
St Johnstone,1,0,Aberdeen,"Tuesday, March 16, 2010","McDiarmid Park (3,826)"
Falkirk,1,2,St Johnstone,"Saturday, March 13, 2010","Falkirk Stadium (5,895)"
Hamilton Academical ,1,0,St Mirren,"Saturday, March 13, 2010","New Douglas Park (2,179)"
Motherwell,3,1,Heart of Midlothian,"Saturday, March 13, 2010","Fir Park Stadium (4,448)"
Kilmarnock,0,2,Rangers,"Tuesday, March 9, 2010","Rugby Park (8,906)"
St Mirren,0,0,Motherwell,"Tuesday, March 9, 2010","St Mirren Park (3,154)"
Falkirk,0,2,Celtic,"Sunday, March 7, 2010","Falkirk Stadium (6,792)"
Dundee United,1,0,Heart of Midlothian,"Sunday, March 7, 2010","Tannadice Park (6,683)"
Hibernian,1,0,Kilmarnock,"Saturday, March 6, 2010","Easter Road Stadium (10,359)"
Hamilton Academical ,1,1,Aberdeen,"Saturday, March 6, 2010","New Douglas Park (2,030)"
Rangers,3,1,St Mirren,"Saturday, March 6, 2010","Ibrox Stadium (47,474)"
St Johnstone,1,2,Motherwell,"Saturday, March 6, 2010","McDiarmid Park (3,669)"
Rangers,1,0,Celtic,"Sunday, February 28, 2010","Ibrox Stadium (50,320)"
Aberdeen,0,1,Heart of Midlothian,"Saturday, February 27, 2010","Pittodrie Stadium (8,316)"
Dundee United,3,0,Falkirk,"Saturday, February 27, 2010","Tannadice Park (6,352)"
Hibernian,1,1,St Johnstone,"Saturday, February 27, 2010","Easter Road Stadium (12,174)"
Motherwell,1,0,Kilmarnock,"Saturday, February 27, 2010","Fir Park Stadium (4,178)"
St Mirren,0,0,Hamilton Academical ,"Saturday, February 27, 2010","St Mirren Park (3,628)"
Heart of Midlothian,2,0,Hamilton Academical ,"Sunday, February 21, 2010","Tynecastle Stadium (13,496)"
Celtic,1,0,Dundee United,"Saturday, February 20, 2010","Celtic Park (49,000)"
Falkirk,3,1,Aberdeen,"Saturday, February 20, 2010","Falkirk Stadium (4,643)"
Kilmarnock,1,1,St Mirren,"Saturday, February 20, 2010","Rugby Park (5,501)"
Motherwell,1,0,Hibernian,"Saturday, February 20, 2010","Fir Park Stadium (5,055)"
St Johnstone,5,1,Hibernian,"Wednesday, February 17, 2010","McDiarmid Park (4,100)"
Rangers,3,0,Hibernian,"Sunday, February 14, 2010","Ibrox Stadium (48,161)"
Aberdeen,4,4,Celtic,"Saturday, February 13, 2010","Pittodrie Stadium (14,898)"
Hamilton Academical ,0,0,Motherwell,"Saturday, February 13, 2010","New Douglas Park (3,133)"
Heart of Midlothian,3,2,Falkirk,"Saturday, February 13, 2010","Tynecastle Stadium (14,078)"
Kilmarnock,3,2,St Johnstone,"Saturday, February 13, 2010","Rugby Park (4,605)"
St Mirren,1,2,Dundee United,"Saturday, February 13, 2010","St Mirren Park (3,944)"
Celtic,2,0,Heart of Midlothian,"Wednesday, February 10, 2010","Celtic Park (44,500)"
Dundee United,0,2,Hamilton Academical ,"Wednesday, February 10, 2010","Tannadice Park (5,598)"
Falkirk,0,1,Kilmarnock,"Wednesday, February 10, 2010","Falkirk Stadium (7,049)"
Hibernian,2,2,Aberdeen,"Wednesday, February 10, 2010","Easter Road Stadium (10,469)"
Motherwell,1,1,Rangers,"Wednesday, February 10, 2010","Fir Park Stadium (9,352)"
St Mirren,1,1,St Johnstone,"Wednesday, February 10, 2010","St Mirren Park (3,009)"
Motherwell,1,0,Hamilton Academical ,"Saturday, February 6, 2010","Fir Park Stadium (4,777)"
Kilmarnock,1,0,Celtic,"Tuesday, February 2, 2010","Rugby Park (9,308)"
Aberdeen,0,1,Falkirk,"Tuesday, February 2, 2010","Pittodrie Stadium (7,741)"
Hamilton Academical ,0,1,Celtic,"Saturday, January 30, 2010","New Douglas Park (4,922)"
Aberdeen,0,3,Motherwell,"Saturday, January 30, 2010","Pittodrie Stadium (9,555)"
Hibernian,2,1,St Mirren,"Saturday, January 30, 2010","Easter Road Stadium (11,476)"
Kilmarnock,4,4,Dundee United,"Saturday, January 30, 2010","Rugby Park (4,587)"
Rangers,3,0,Falkirk,"Saturday, January 30, 2010","Ibrox Stadium (45,907)"
St Johnstone,1,0,Heart of Midlothian,"Saturday, January 30, 2010","McDiarmid Park (4,752)"
Celtic,1,2,Hibernian,"Wednesday, January 27, 2010","Celtic Park (41,000)"
Dundee United,3,3,St Johnstone,"Wednesday, January 27, 2010","Tannadice Park (6,600)"
Falkirk,0,0,Motherwell,"Wednesday, January 27, 2010","Falkirk Stadium (4,321)"
Heart of Midlothian,0,3,Aberdeen,"Wednesday, January 27, 2010","Tynecastle Stadium (14,219)"
St Mirren,0,2,Rangers,"Wednesday, January 27, 2010","St Mirren Park (5,260)"
Hamilton Academical ,0,0,Kilmarnock,"Tuesday, January 26, 2010","New Douglas Park (2,018)"
Falkirk,1,4,Dundee United,"Sunday, January 24, 2010","Falkirk Stadium (4,378)"
St Johnstone,1,4,Celtic,"Sunday, January 24, 2010","McDiarmid Park (7,743)"
Motherwell,2,0,St Mirren,"Saturday, January 23, 2010","Fir Park Stadium (3,621)"
Aberdeen,1,0,Kilmarnock,"Saturday, January 23, 2010","Pittodrie Stadium (12,150)"
Hibernian,5,1,Hamilton Academical ,"Saturday, January 23, 2010","Easter Road Stadium (11,481)"
Rangers,1,1,Heart of Midlothian,"Saturday, January 23, 2010","Ibrox Stadium (47,031)"
Hamilton Academical ,0,1,Rangers,"Saturday, January 16, 2010","New Douglas Park (5,343)"
