home, homescore, awayscore, away, date, group
Caen, 0, 1, Bordeaux, "Saturday, May 30, 2009", "Stade Michel-d'Ornano (20,922)"
Grenoble, 0, 1, Sochaux, "Saturday, May 30, 2009", "Stade des Alpes (30,354)"
Lille, 3, 2, AS Nancy Lorraine, "Saturday, May 30, 2009", "Stadium Lille Métropole (13,500)"
Lorient, 1, 1, Le Mans, "Saturday, May 30, 2009", "Stade du Moustoir (11,000)"
Marseille, 4, 0, Stade Rennes, "Saturday, May 30, 2009", "Stade Vélodrome (30,000)"
Nantes, 2, 1, AJ Auxerre, "Saturday, May 30, 2009", "La Beaujoire-Louis-Fonteneau (18,000)"
Nice, 0, 0, Le Havre AC, "Saturday, May 30, 2009", "Stade du Ray (17,000)"
Paris Saint-Germain , 0, 0, AS Monaco, "Saturday, May 30, 2009", "Parc des Princes (43,000)"
St Etienne, 4, 0, Valenciennes, "Saturday, May 30, 2009", "Stade Geoffroy-Guichard (33,633)"
Toulouse, 0, 0, Lyon, "Saturday, May 30, 2009", "Stadium Municipal (32,000)"
AJ Auxerre, 1, 0, St Etienne, "Saturday, May 23, 2009", "Stade Abbé-Deschamps (19,000)"
AS Nancy Lorraine, 1, 2, Marseille, "Saturday, May 23, 2009", "Stade Marcel Picot (20,609)"
Bordeaux, 1, 0, AS Monaco, "Saturday, May 23, 2009", "Stade Jacques Chaban-Delmas (32,620)"
Le Havre AC, 0, 1, Lille, "Saturday, May 23, 2009", "Stade Jules-Deschaseaux (12,000)"
Le Mans, 1, 1, Grenoble, "Saturday, May 23, 2009", "Leon-Bollée (10,000)"
Lyon, 3, 1, Caen, "Saturday, May 23, 2009", "Stade de Gerland (30,000)"
Nice, 0, 2, Toulouse, "Saturday, May 23, 2009", "Stade du Ray (9,156)"
Sochaux, 2, 1, Nantes, "Saturday, May 23, 2009", "Stade Bonal (19,000)"
Stade Rennes, 3, 1, Lorient, "Saturday, May 23, 2009", "Stade de la Route-de-Lorient (27,728)"
Valenciennes, 2, 1, Paris Saint-Germain , "Saturday, May 23, 2009", "Stade Nungesser (12,000)"
Lille, 1, 1, Nice, "Sunday, May 17, 2009", "Stadium Lille Métropole (13,000)"
Nantes, 1, 1, Stade Rennes, "Sunday, May 17, 2009", "La Beaujoire-Louis-Fonteneau (25,068)"
Marseille, 1, 3, Lyon, "Sunday, May 17, 2009", "Stade Vélodrome (58,000)"
AS Monaco, 1, 1, Valenciennes, "Saturday, May 16, 2009", "Stade Louis II (7,026)"
Bordeaux, 3, 2, Le Mans, "Saturday, May 16, 2009", "Stade Jacques Chaban-Delmas (32,722)"
Caen, 2, 0, Sochaux, "Saturday, May 16, 2009", "Stade Michel-d'Ornano (18,927)"
Grenoble, 0, 0, AS Nancy Lorraine, "Saturday, May 16, 2009", "Stade des Alpes (15,498)"
Lorient, 1, 1, Le Havre AC, "Saturday, May 16, 2009", "Stade du Moustoir (10,000)"
St Etienne, 2, 2, Toulouse, "Saturday, May 16, 2009", "Stade Geoffroy-Guichard (30,053)"
Paris Saint-Germain , 1, 2, AJ Auxerre, "Saturday, May 16, 2009", "Parc des Princes (41,000)"
AJ Auxerre, 2, 0, Grenoble, "Wednesday, May 13, 2009", "Stade Abbé-Deschamps (10,738)"
AS Nancy Lorraine, 2, 2, Lorient, "Wednesday, May 13, 2009", "Stade Marcel Picot (18,148)"
Le Havre AC, 2, 4, St Etienne, "Wednesday, May 13, 2009", "Stade Jules-Deschaseaux (14,754)"
Le Mans, 0, 1, Paris Saint-Germain , "Wednesday, May 13, 2009", "Leon-Bollée (12,281)"
Nice, 0, 2, Marseille, "Wednesday, May 13, 2009", "Stade du Ray (16,670)"
Sochaux, 3, 0, AS Monaco, "Wednesday, May 13, 2009", "Stade Bonal (16,870)"
Stade Rennes, 1, 0, Caen, "Wednesday, May 13, 2009", "Stade de la Route-de-Lorient (20,880)"
Toulouse, 0, 0, Lille, "Wednesday, May 13, 2009", "Stadium Municipal (19,000)"
Valenciennes, 1, 2, Bordeaux, "Wednesday, May 13, 2009", "Stade Nungesser (15,104)"
Lyon, 3, 0, Nantes, "Tuesday, May 12, 2009", "Stade de Gerland (38,000)"
Nantes, 1, 2, Le Havre AC, "Sunday, May 3, 2009", "La Beaujoire-Louis-Fonteneau (21,809)"
Paris Saint-Germain , 0, 1, Stade Rennes, "Sunday, May 3, 2009", "Parc des Princes (39,000)"
Bordeaux, 3, 0, Sochaux, "Sunday, May 3, 2009", "Stade Jacques Chaban-Delmas (27,133)"
AS Monaco, 0, 1, AJ Auxerre, "Saturday, May 2, 2009", "Stade Louis II (7,203)"
Caen, 3, 1, Le Mans, "Saturday, May 2, 2009", "Stade Michel-d'Ornano (17,000)"
Grenoble, 0, 0, Nice, "Saturday, May 2, 2009", "Stade des Alpes (30,000)"
Lorient, 3, 1, Lille, "Saturday, May 2, 2009", "Stade du Moustoir (11,576)"
St Etienne, 0, 0, AS Nancy Lorraine, "Saturday, May 2, 2009", "Stade Geoffroy-Guichard (31,446)"
