home, homescore, awayscore, away, date, group
Arsenal, 4, 1, Stoke City, "Sunday, May 24, 2009", "Emirates Stadium (60,082)"
Aston Villa, 1, 0, Newcastle United, "Sunday, May 24, 2009", "Villa Park (42,585)"
Blackburn Rovers, 0, 0, West Bromwich Albion, "Sunday, May 24, 2009", "Ewood Park (28,389)"
Fulham, 0, 2, Everton, "Sunday, May 24, 2009", "Craven Cottage (25,497)"
Hull City, 0, 1, Manchester United, "Sunday, May 24, 2009", "Kingston Communications Stadium (24,945)"
Liverpool, 3, 1, Tottenham Hotspur, "Sunday, May 24, 2009", "Anfield (43,937)"
Manchester City, 1, 0, Bolton Wanderers, "Sunday, May 24, 2009", "Etihad Stadium (47,202)"
Sunderland, 2, 3, Chelsea, "Sunday, May 24, 2009", "Stadium of Light (42,468)"
West Ham United, 2, 1, Middlesbrough, "Sunday, May 24, 2009", "Upton Park (34,007)"
Wigan Athletic, 1, 0, Portsmouth, "Sunday, May 24, 2009", "DW Stadium (17,696)"
Portsmouth, 3, 1, Sunderland, "Monday, May 18, 2009", "Fratton Park (20,398)"
West Bromwich Albion, 0, 2, Liverpool, "Sunday, May 17, 2009", "The Hawthorns (26,138)"
Chelsea, 2, 0, Blackburn Rovers, "Sunday, May 17, 2009", "Stamford Bridge (40,804)"
Manchester United, 0, 0, Arsenal, "Saturday, May 16, 2009", "Old Trafford (75,468)"
Bolton Wanderers, 1, 1, Hull City, "Saturday, May 16, 2009", "Reebok Stadium (25,085)"
Everton, 3, 1, West Ham United, "Saturday, May 16, 2009", "Goodison Park (38,501)"
Middlesbrough, 1, 1, Aston Villa, "Saturday, May 16, 2009", "The Riverside Stadium (27,261)"
Newcastle United, 0, 1, Fulham, "Saturday, May 16, 2009", "St James' Park (52,114)"
Stoke City, 2, 0, Wigan Athletic, "Saturday, May 16, 2009", "Britannia Stadium (25,641)"
Tottenham Hotspur, 2, 1, Manchester City, "Saturday, May 16, 2009", "White Hart Lane (36,000)"
Wigan Athletic, 1, 2, Manchester United, "Wednesday, May 13, 2009", "DW Stadium (21,286)"
Newcastle United, 3, 1, Middlesbrough, "Monday, May 11, 2009", "St James' Park (51,252)"
Manchester United, 2, 0, Manchester City, "Sunday, May 10, 2009", "Old Trafford (75,464)"
Arsenal, 1, 4, Chelsea, "Sunday, May 10, 2009", "Emirates Stadium (60,075)"
Blackburn Rovers, 2, 0, Portsmouth, "Saturday, May 9, 2009", "Ewood Park (24,234)"
Bolton Wanderers, 0, 0, Sunderland, "Saturday, May 9, 2009", "Reebok Stadium (24,005)"
Everton, 0, 0, Tottenham Hotspur, "Saturday, May 9, 2009", "Goodison Park (36,646)"
Fulham, 3, 1, Aston Villa, "Saturday, May 9, 2009", "Craven Cottage (25,660)"
