home,homescore,awayscore,away,date,location
Ajax Amsterdam,2,1,FC Groningen,"Sunday, May 22, 2005","Amsterdam ArenA (49,147)"
AZ Alkmaar,1,3,RBC Roosendaal,"Sunday, May 22, 2005","Alkmaarder Hout (8,368)"
De Graafschap,1,2,Vitesse Arnhem,"Sunday, May 22, 2005","De Vijverberg (11,000)"
FC Den Bosch,0,3,FC Utrecht,"Sunday, May 22, 2005","Ecco Stadion (6,150)"
Feyenoord Rotterdam,6,3,ADO Den Haag,"Sunday, May 22, 2005","De Kuip Stadion  (35,000)"
Heerenveen,2,1,NEC Nijmegen,"Sunday, May 22, 2005","Abe Lenstra Stadion (20,500)"
NAC Breda,1,1,Twente Enschede,"Sunday, May 22, 2005","Fujifilm  (9,620)"
Roda JC Kerkrade,0,0,PSV Eindhoven,"Sunday, May 22, 2005","Parkstad Limburg Stadion (15,500)"
Willem II Tilburg,3,0,RKC Waalwijk,"Sunday, May 22, 2005","Willem II  (12,300)"
ADO Den Haag,6,2,NAC Breda,"Sunday, May 15, 2005","Het Zuiderpark (4,500)"
FC Groningen,1,2,Heerenveen,"Sunday, May 15, 2005","Oosterpark  (12,500)"
FC Utrecht,0,3,Willem II Tilburg,"Sunday, May 15, 2005","Nieuwe Galgenwaard (18,900)"
NEC Nijmegen,3,0,De Graafschap,"Sunday, May 15, 2005","De Goffert (12,000)"
PSV Eindhoven,4,2,Feyenoord Rotterdam,"Sunday, May 15, 2005","Philipsstadion (33,000)"
RBC Roosendaal,3,1,Roda JC Kerkrade,"Sunday, May 15, 2005","Vast & Goed Stadion (5,000)"
RKC Waalwijk,2,0,FC Den Bosch,"Sunday, May 15, 2005","Sportp. Olympia/Mandemakers Stadion (7,400)"
Twente Enschede,3,0,AZ Alkmaar,"Sunday, May 15, 2005","Arke Stadion "
Vitesse Arnhem,0,2,Ajax Amsterdam,"Sunday, May 15, 2005","Gelredome (22,600)"
NEC Nijmegen,2,0,Feyenoord Rotterdam,"Sunday, May 8, 2005","De Goffert (11,750)"
ADO Den Haag,2,1,AZ Alkmaar,"Sunday, May 8, 2005","Het Zuiderpark (5,500)"
FC Groningen,4,4,Roda JC Kerkrade,"Sunday, May 8, 2005","Oosterpark  (9,500)"
FC Utrecht,1,2,Vitesse Arnhem,"Sunday, May 8, 2005","Nieuwe Galgenwaard (18,554)"
PSV Eindhoven,4,1,De Graafschap,"Sunday, May 8, 2005","Philipsstadion (32,000)"
Ajax Amsterdam,4,0,RKC Waalwijk,"Saturday, May 7, 2005","Amsterdam ArenA (48,672)"
FC Den Bosch,1,0,Twente Enschede,"Saturday, May 7, 2005","Ecco Stadion (5,444)"
Heerenveen,2,2,Willem II Tilburg,"Saturday, May 7, 2005","Abe Lenstra Stadion (21,000)"
NAC Breda,1,2,RBC Roosendaal,"Friday, May 6, 2005","Fujifilm  (12,400)"
AZ Alkmaar,2,1,FC Groningen,"Sunday, May 1, 2005","Alkmaarder Hout (8,457)"
De Graafschap,0,0,FC Utrecht,"Sunday, May 1, 2005","De Vijverberg (10,750)"
FC Den Bosch,0,2,NAC Breda,"Sunday, May 1, 2005","Ecco Stadion (5,610)"
Feyenoord Rotterdam,1,3,Heerenveen,"Sunday, May 1, 2005","De Kuip Stadion  (41,000)"
Vitesse Arnhem,3,1,RKC Waalwijk,"Sunday, May 1, 2005","Gelredome (21,242)"
Willem II Tilburg,1,0,ADO Den Haag,"Sunday, May 1, 2005","Willem II  (12,050)"
RBC Roosendaal,1,4,Ajax Amsterdam,"Saturday, April 30, 2005","Vast & Goed Stadion (5,000)"
Twente Enschede,2,2,PSV Eindhoven,"Friday, April 29, 2005","Arke Stadion (13,100)"
Roda JC Kerkrade,1,0,NEC Nijmegen,"Friday, April 29, 2005","Parkstad Limburg Stadion (12,300)"
FC Groningen,0,2,Feyenoord Rotterdam,"Sunday, April 24, 2005","Oosterpark  (40,500)"
Ajax Amsterdam,1,0,De Graafschap,"Sunday, April 24, 2005","Amsterdam ArenA (48,707)"
FC Utrecht,2,2,Twente Enschede,"Sunday, April 24, 2005","Nieuwe Galgenwaard (20,153)"
NAC Breda,1,2,Willem II Tilburg,"Sunday, April 24, 2005","Fujifilm  (12,133)"
NEC Nijmegen,2,2,FC Den Bosch,"Sunday, April 24, 2005","De Goffert (11,750)"
ADO Den Haag,1,4,Roda JC Kerkrade,"Saturday, April 23, 2005","Het Zuiderpark (6,612)"
PSV Eindhoven,3,0,Vitesse Arnhem,"Saturday, April 23, 2005","Philipsstadion (33,500)"
RKC Waalwijk,2,1,AZ Alkmaar,"Saturday, April 23, 2005","Sportp. Olympia/Mandemakers Stadion (7,100)"
Heerenveen,7,1,RBC Roosendaal,"Friday, April 22, 2005","Abe Lenstra Stadion (21,000)"
FC Utrecht,3,2,AZ Alkmaar,"Wednesday, April 20, 2005","Nieuwe Galgenwaard (20,100)"
Feyenoord Rotterdam,2,3,Ajax Amsterdam,"Sunday, April 17, 2005","De Kuip Stadion  (42,000)"
AZ Alkmaar,1,1,NAC Breda,"Sunday, April 17, 2005","Alkmaarder Hout (8,340)"
FC Den Bosch,1,2,FC Groningen,"Sunday, April 17, 2005","Ecco Stadion (5,564)"
Twente Enschede,2,1,NEC Nijmegen,"Sunday, April 17, 2005","Arke Stadion (13,100)"
Willem II Tilburg,0,1,PSV Eindhoven,"Sunday, April 17, 2005","Willem II  (12,700)"
De Graafschap,2,4,RKC Waalwijk,"Saturday, April 16, 2005","De Vijverberg (10,750)"
RBC Roosendaal,2,0,ADO Den Haag,"Saturday, April 16, 2005","Vast & Goed Stadion (5,000)"
Vitesse Arnhem,1,3,Heerenveen,"Saturday, April 16, 2005","Gelredome (23,000)"
Roda JC Kerkrade,3,2,FC Utrecht,"Friday, April 15, 2005","Parkstad Limburg Stadion (13,700)"
FC Den Bosch,4,1,Feyenoord Rotterdam,"Wednesday, April 13, 2005","Ecco Stadion (6,723)"
NAC Breda,0,2,Feyenoord Rotterdam,"Sunday, April 10, 2005","Fujifilm  (15,124)"
NEC Nijmegen,1,1,Vitesse Arnhem,"Sunday, April 10, 2005","De Goffert (12,500)"
Ajax Amsterdam,4,2,AZ Alkmaar,"Sunday, April 10, 2005","Amsterdam ArenA (49,882)"
RKC Waalwijk,1,0,Roda JC Kerkrade,"Sunday, April 10, 2005","Sportp. Olympia/Mandemakers Stadion (5,500)"
FC Groningen,3,0,RBC Roosendaal,"Saturday, April 9, 2005","Oosterpark  (10,500)"
